country,variable,percentile,year,value
US,shweal992f,p50p90,2011,0.3376
US,shweal992f,p50p90,2012,0.3206
US,shweal992f,p50p90,2013,0.3218
US,shweal992f,p50p90,2014,0.3186
US,shweal992f,p50p90,2015,0.3223
US,shweal992f,p50p90,2016,0.3232
US,shweal992f,p50p90,2017,0.3362
US,shweal992f,p50p90,2018,0.3372
US,shweal992f,p50p90,2019,0.3412
US,shweal992f,p90p100,1962,0.7202
US,shweal992f,p90p100,1963,0.7188
US,shweal992f,p90p100,1964,0.7173
US,shweal992f,p90p100,1965,0.7129
US,shweal992f,p90p100,1966,0.7086
US,shweal992f,p90p100,1967,0.7068
US,shweal992f,p90p100,1968,0.7057
US,shweal992f,p90p100,1969,0.6955
US,shweal992f,p90p100,1970,0.6955
US,shweal992f,p90p100,1971,0.6918
US,shweal992f,p90p100,1972,0.6938
US,shweal992f,p90p100,1973,0.6847
US,shweal992f,p90p100,1974,0.6733
US,shweal992f,p90p100,1975,0.6686
US,shweal992f,p90p100,1976,0.6617
US,shweal992f,p90p100,1977,0.6576
US,shweal992f,p90p100,1978,0.6492
US,shweal992f,p90p100,1979,0.6537
US,shweal992f,p90p100,1980,0.651
US,shweal992f,p90p100,1981,0.6457
US,shweal992f,p90p100,1982,0.6366
US,shweal992f,p90p100,1983,0.631
US,shweal992f,p90p100,1984,0.632
US,shweal992f,p90p100,1985,0.6323
US,shweal992f,p90p100,1986,0.6308
US,shweal992f,p90p100,1987,0.6325
US,shweal992f,p90p100,1988,0.6429
US,shweal992f,p90p100,1989,0.6446
US,shweal992f,p90p100,1990,0.6439
US,shweal992f,p90p100,1991,0.6449
US,shweal992f,p90p100,1992,0.6582
US,shweal992f,p90p100,1993,0.6641
US,shweal992f,p90p100,1994,0.6654
US,shweal992f,p90p100,1995,0.6685
US,shweal992f,p90p100,1996,0.6714
US,shweal992f,p90p100,1997,0.6796
US,shweal992f,p90p100,1998,0.6859
US,shweal992f,p90p100,1999,0.6844
US,shweal992f,p90p100,2000,0.686
US,shweal992f,p90p100,2001,0.6776
US,shweal992f,p90p100,2002,0.6793
US,shweal992f,p90p100,2003,0.6794
US,shweal992f,p90p100,2004,0.6842
US,shweal992f,p90p100,2005,0.6845
US,shweal992f,p90p100,2006,0.6816
US,shweal992f,p90p100,2007,0.6909
US,shweal992f,p90p100,2008,0.7054
US,shweal992f,p90p100,2009,0.712
US,shweal992f,p90p100,2010,0.7241
US,shweal992f,p90p100,2011,0.7279
US,shweal992f,p90p100,2012,0.7371
US,shweal992f,p90p100,2013,0.7354
US,shweal992f,p90p100,2014,0.7336
US,shweal992f,p90p100,2015,0.7282
US,shweal992f,p90p100,2016,0.7245
US,shweal992f,p90p100,2017,0.7124
US,shweal992f,p90p100,2018,0.7104
US,shweal992f,p90p100,2019,0.7085
US,shweal992f,p99p100,1962,0.2919
US,shweal992f,p99p100,1963,0.2862
US,shweal992f,p99p100,1964,0.2809
US,shweal992f,p99p100,1965,0.2795
US,shweal992f,p99p100,1966,0.2783
US,shweal992f,p99p100,1967,0.2835
US,shweal992f,p99p100,1968,0.2865
US,shweal992f,p99p100,1969,0.2763
US,shweal992f,p99p100,1970,0.2702
US,shweal992f,p99p100,1971,0.2677
US,shweal992f,p99p100,1972,0.2628
US,shweal992f,p99p100,1973,0.2522
US,shweal992f,p99p100,1974,0.2405
US,shweal992f,p99p100,1975,0.2343
US,shweal992f,p99p100,1976,0.2279
US,shweal992f,p99p100,1977,0.2249
US,shweal992f,p99p100,1978,0.2235
US,shweal992f,p99p100,1979,0.2311
US,shweal992f,p99p100,1980,0.2322
US,shweal992f,p99p100,1981,0.2372
US,shweal992f,p99p100,1982,0.2441
US,shweal992f,p99p100,1983,0.2373
US,shweal992f,p99p100,1984,0.2395
US,shweal992f,p99p100,1985,0.2496
US,shweal992f,p99p100,1986,0.2499
US,shweal992f,p99p100,1987,0.2624
US,shweal992f,p99p100,1988,0.279
US,shweal992f,p99p100,1989,0.2796
US,shweal992f,p99p100,1990,0.2781
US,shweal992f,p99p100,1991,0.2726
US,shweal992f,p99p100,1992,0.281
US,shweal992f,p99p100,1993,0.2852
US,shweal992f,p99p100,1994,0.2837
US,shweal992f,p99p100,1995,0.2818
US,shweal992f,p99p100,1996,0.287
US,shweal992f,p99p100,1997,0.2981
US,shweal992f,p99p100,1998,0.3054
US,shweal992f,p99p100,1999,0.3066
US,shweal992f,p99p100,2000,0.3151
US,shweal992f,p99p100,2001,0.3087
US,shweal992f,p99p100,2002,0.3055
US,shweal992f,p99p100,2003,0.3022
US,shweal992f,p99p100,2004,0.3063
US,shweal992f,p99p100,2005,0.3138
US,shweal992f,p99p100,2006,0.3145
US,shweal992f,p99p100,2007,0.3235
US,shweal992f,p99p100,2008,0.3274
US,shweal992f,p99p100,2009,0.3198
US,shweal992f,p99p100,2010,0.3343
US,shweal992f,p99p100,2011,0.3398
US,shweal992f,p99p100,2012,0.3546
US,shweal992f,p99p100,2013,0.3467
US,shweal992f,p99p100,2014,0.35
US,shweal992f,p99p100,2015,0.3478
US,shweal992f,p99p100,2016,0.3451
US,shweal992f,p99p100,2017,0.3444
US,shweal992f,p99p100,2018,0.3419
US,shweal992f,p99p100,2019,0.3389
US,shweal992i,p90p100,1913,0.7936
US,shweal992i,p90p100,1914,0.7924
US,shweal992i,p90p100,1915,0.7888
US,shweal992i,p90p100,1916,0.7887
US,shweal992i,p90p100,1917,0.7902
US,shweal992i,p90p100,1918,0.7933
US,shweal992i,p90p100,1919,0.8083
US,shweal992i,p90p100,1920,0.7895
US,shweal992i,p90p100,1921,0.789
US,shweal992i,p90p100,1922,0.7995
US,shweal992i,p90p100,1923,0.8046
US,shweal992i,p90p100,1924,0.8171
US,shweal992i,p90p100,1925,0.8268
US,shweal992i,p90p100,1926,0.8365
US,shweal992i,p90p100,1927,0.8471
US,shweal992i,p90p100,1928,0.8491
US,shweal992i,p90p100,1929,0.8486
US,shweal992i,p90p100,1930,0.8532
US,shweal992i,p90p100,1931,0.8511
US,shweal992i,p90p100,1932,0.8559
US,shweal992i,p90p100,1933,0.8527
US,shweal992i,p90p100,1934,0.8368
US,shweal992i,p90p100,1935,0.8233
US,shweal992i,p90p100,1936,0.8271
US,shweal992i,p90p100,1937,0.8099
US,shweal992i,p90p100,1938,0.8066
US,shweal992i,p90p100,1939,0.8098
US,shweal992i,p90p100,1940,0.7806
US,shweal992i,p90p100,1941,0.7554
US,shweal992i,p90p100,1942,0.7373
US,shweal992i,p90p100,1943,0.7408
US,shweal992i,p90p100,1944,0.7178
US,shweal992i,p90p100,1945,0.7237
US,shweal992i,p90p100,1946,0.7212
US,shweal992i,p90p100,1947,0.708
US,shweal992i,p90p100,1948,0.6946
US,shweal992i,p90p100,1949,0.6868
US,shweal992i,p90p100,1950,0.6903
US,shweal992i,p90p100,1951,0.6901
US,shweal992i,p90p100,1952,0.6873
US,shweal992i,p90p100,1953,0.681
US,shweal992i,p90p100,1954,0.685
US,shweal992i,p90p100,1955,0.6888
US,shweal992i,p90p100,1956,0.6922
US,shweal992i,p90p100,1957,0.6964
US,shweal992i,p90p100,1958,0.6952
US,shweal992i,p90p100,1959,0.7024
US,shweal992i,p90p100,1960,0.705
US,shweal992i,p90p100,1961,0.7071
US,shweal992i,p90p100,1962,0.7122
US,shweal992i,p90p100,1963,0.7117
US,shweal992i,p90p100,1964,0.7112
US,shweal992i,p90p100,1965,0.7071
US,shweal992i,p90p100,1966,0.703
US,shweal992i,p90p100,1967,0.6995
US,shweal992i,p90p100,1968,0.6999
US,shweal992i,p90p100,1969,0.6902
US,shweal992i,p90p100,1970,0.6907
US,shweal992i,p90p100,1971,0.687
US,shweal992i,p90p100,1972,0.6891
US,shweal992i,p90p100,1973,0.6802
US,shweal992i,p90p100,1974,0.6709
US,shweal992i,p90p100,1975,0.6662
US,shweal992i,p90p100,1976,0.6581
US,shweal992i,p90p100,1977,0.654
US,shweal992i,p90p100,1978,0.6465
US,shweal992i,p90p100,1979,0.6537
US,shweal992i,p90p100,1980,0.6499
US,shweal992i,p90p100,1981,0.6459
US,shweal992i,p90p100,1982,0.6354
US,shweal992i,p90p100,1983,0.6302
US,shweal992i,p90p100,1984,0.6325
US,shweal992i,p90p100,1985,0.6298
US,shweal992i,p90p100,1986,0.6294
US,shweal992i,p90p100,1987,0.6335
US,shweal992i,p90p100,1988,0.6461
US,shweal992i,p90p100,1989,0.6469
US,shweal992i,p90p100,1990,0.6488
US,shweal992i,p90p100,1991,0.6494
US,shweal992i,p90p100,1992,0.6634
US,shweal992i,p90p100,1993,0.6656
US,shweal992i,p90p100,1994,0.6663
US,shweal992i,p90p100,1995,0.6695
US,shweal992i,p90p100,1996,0.6731
US,shweal992i,p90p100,1997,0.6801
US,shweal992i,p90p100,1998,0.6865
US,shweal992i,p90p100,1999,0.6863
US,shweal992i,p90p100,2000,0.6865
US,shweal992i,p90p100,2001,0.6808
US,shweal992i,p90p100,2002,0.6806
US,shweal992i,p90p100,2003,0.6817
US,shweal992i,p90p100,2004,0.686
US,shweal992i,p90p100,2005,0.686
US,shweal992i,p90p100,2006,0.6874
US,shweal992i,p90p100,2007,0.6963
US,shweal992i,p90p100,2008,0.7114
US,shweal992i,p90p100,2009,0.7168
US,shweal992i,p90p100,2010,0.7297
US,shweal992i,p90p100,2011,0.735
US,shweal992i,p90p100,2012,0.7435
US,shweal992i,p90p100,2013,0.7392
US,shweal992i,p90p100,2014,0.7364
US,shweal992i,p99p100,1913,0.4662
US,shweal992i,p99p100,1914,0.461
US,shweal992i,p99p100,1915,0.4613
US,shweal992i,p99p100,1916,0.4445
US,shweal992i,p99p100,1917,0.42
US,shweal992i,p99p100,1918,0.3842
US,shweal992i,p99p100,1919,0.4127
US,shweal992i,p99p100,1920,0.3696
US,shweal992i,p99p100,1921,0.3812
US,shweal992i,p99p100,1922,0.4111
US,shweal992i,p99p100,1923,0.3656
US,shweal992i,p99p100,1924,0.3861
US,shweal992i,p99p100,1925,0.4188
US,shweal992i,p99p100,1926,0.4349
US,shweal992i,p99p100,1927,0.4586
US,shweal992i,p99p100,1928,0.4855
US,shweal992i,p99p100,1929,0.4867
US,shweal992i,p99p100,1930,0.4417
US,shweal992i,p99p100,1931,0.396
US,shweal992i,p99p100,1932,0.3937
US,shweal992i,p99p100,1933,0.4148
US,shweal992i,p99p100,1934,0.4211
US,shweal992i,p99p100,1935,0.4152
US,shweal992i,p99p100,1936,0.4395
US,shweal992i,p99p100,1937,0.4472
US,shweal992i,p99p100,1938,0.4084
US,shweal992i,p99p100,1939,0.4189
US,shweal992i,p99p100,1940,0.3897
US,shweal992i,p99p100,1941,0.3587
US,shweal992i,p99p100,1942,0.3537
US,shweal992i,p99p100,1943,0.3553
US,shweal992i,p99p100,1944,0.3284
US,shweal992i,p99p100,1945,0.33
US,shweal992i,p99p100,1946,0.3088
US,shweal992i,p99p100,1947,0.2975
US,shweal992i,p99p100,1948,0.292
US,shweal992i,p99p100,1949,0.2835
US,shweal992i,p99p100,1950,0.2959
US,shweal992i,p99p100,1951,0.2913
US,shweal992i,p99p100,1952,0.2881
US,shweal992i,p99p100,1953,0.2762
US,shweal992i,p99p100,1954,0.2822
US,shweal992i,p99p100,1955,0.2847
US,shweal992i,p99p100,1956,0.2878
US,shweal992i,p99p100,1957,0.2841
US,shweal992i,p99p100,1958,0.2796
US,shweal992i,p99p100,1959,0.2853
US,shweal992i,p99p100,1960,0.2852
US,shweal992i,p99p100,1961,0.2869
US,shweal992i,p99p100,1962,0.2874
US,shweal992i,p99p100,1963,0.2839
US,shweal992i,p99p100,1964,0.2804
US,shweal992i,p99p100,1965,0.2791
US,shweal992i,p99p100,1966,0.2778
US,shweal992i,p99p100,1967,0.2809
US,shweal992i,p99p100,1968,0.2848
US,shweal992i,p99p100,1969,0.2748
US,shweal992i,p99p100,1970,0.2687
US,shweal992i,p99p100,1971,0.2665
US,shweal992i,p99p100,1972,0.2623
US,shweal992i,p99p100,1973,0.2525
US,shweal992i,p99p100,1974,0.2427
US,shweal992i,p99p100,1975,0.2357
US,shweal992i,p99p100,1976,0.2287
US,shweal992i,p99p100,1977,0.2251
US,shweal992i,p99p100,1978,0.2233
US,shweal992i,p99p100,1979,0.2324
US,shweal992i,p99p100,1980,0.2324
US,shweal992i,p99p100,1981,0.239
US,shweal992i,p99p100,1982,0.2451
US,shweal992i,p99p100,1983,0.2397
US,shweal992i,p99p100,1984,0.2419
US,shweal992i,p99p100,1985,0.2474
US,shweal992i,p99p100,1986,0.2497
US,shweal992i,p99p100,1987,0.2658
US,shweal992i,p99p100,1988,0.2845
US,shweal992i,p99p100,1989,0.2859
US,shweal992i,p99p100,1990,0.2862
US,shweal992i,p99p100,1991,0.281
US,shweal992i,p99p100,1992,0.2919
US,shweal992i,p99p100,1993,0.2906
US,shweal992i,p99p100,1994,0.2897
US,shweal992i,p99p100,1995,0.2893
US,shweal992i,p99p100,1996,0.2962
US,shweal992i,p99p100,1997,0.305
US,shweal992i,p99p100,1998,0.315
US,shweal992i,p99p100,1999,0.3182
US,shweal992i,p99p100,2000,0.3234
US,shweal992i,p99p100,2001,0.319
US,shweal992i,p99p100,2002,0.3127
US,shweal992i,p99p100,2003,0.311
US,shweal992i,p99p100,2004,0.3154
US,shweal992i,p99p100,2005,0.3225
US,shweal992i,p99p100,2006,0.3265
US,shweal992i,p99p100,2007,0.3332
US,shweal992i,p99p100,2008,0.339
US,shweal992i,p99p100,2009,0.3312
US,shweal992i,p99p100,2010,0.3459
US,shweal992i,p99p100,2011,0.352
US,shweal992i,p99p100,2012,0.3666
US,shweal992i,p99p100,2013,0.3566
US,shweal992i,p99p100,2014,0.3586
US,shweal992j,p0p50,1820,0.0218
US,shweal992j,p0p50,1850,0.0161
US,shweal992j,p0p50,1880,0.028
US,shweal992j,p0p50,1900,0.0246
US,shweal992j,p0p50,1910,0.0194
US,shweal992j,p0p50,1913,0.0194
US,shweal992j,p0p50,1914,0.0198
US,shweal992j,p0p50,1915,0.0205
US,shweal992j,p0p50,1916,0.0324
US,shweal992j,p0p50,1917,0.0319
US,shweal992j,p0p50,1918,0.0124
US,shweal992j,p0p50,1919,0.0171
US,shweal992j,p0p50,1920,0.0081
US,shweal992j,p0p50,1921,0.0132
US,shweal992j,p0p50,1922,0.0122
US,shweal992j,p0p50,1923,0.0335
US,shweal992j,p0p50,1924,0.0311
US,shweal992j,p0p50,1925,0.0295
US,shweal992j,p0p50,1926,0.0278
US,shweal992j,p0p50,1927,0.0259
US,shweal992j,p0p50,1928,0.0256
US,shweal992j,p0p50,1929,0.0258
US,shweal992j,p0p50,1930,0.0247
US,shweal992j,p0p50,1931,0.0251
US,shweal992j,p0p50,1932,0.013
US,shweal992j,p0p50,1933,0.0158
US,shweal992j,p0p50,1934,0.037
US,shweal992j,p0p50,1935,0.0257
US,shweal992j,p0p50,1936,0.02
US,shweal992j,p0p50,1937,0.0328
US,shweal992j,p0p50,1938,0.033
US,shweal992j,p0p50,1939,0.0327
US,shweal992j,p0p50,1940,0.0105
US,shweal992j,p0p50,1941,0.0214
US,shweal992j,p0p50,1942,0.0222
US,shweal992j,p0p50,1943,0.0251
US,shweal992j,p0p50,1944,0.031
US,shweal992j,p0p50,1945,0.0343
US,shweal992j,p0p50,1946,0.0349
US,shweal992j,p0p50,1947,0.0385
US,shweal992j,p0p50,1948,0.0372
US,shweal992j,p0p50,1949,0.0326
US,shweal992j,p0p50,1950,0.0311
US,shweal992j,p0p50,1951,0.0348
US,shweal992j,p0p50,1952,0.0318
US,shweal992j,p0p50,1953,0.0339
US,shweal992j,p0p50,1954,0.0252
US,shweal992j,p0p50,1955,0.016
US,shweal992j,p0p50,1956,0.0252
US,shweal992j,p0p50,1957,0.0358
US,shweal992j,p0p50,1958,0.0353
US,shweal992j,p0p50,1959,0.038
US,shweal992j,p0p50,1960,0.0361
US,shweal992j,p0p50,1961,0.0279
US,shweal992j,p0p50,1962,0.0132
US,shweal992j,p0p50,1963,0.0121
US,shweal992j,p0p50,1964,0.0109
US,shweal992j,p0p50,1965,0.0113
US,shweal992j,p0p50,1966,0.0117
US,shweal992j,p0p50,1967,0.0075
US,shweal992j,p0p50,1968,0.0085
US,shweal992j,p0p50,1969,0.0098
US,shweal992j,p0p50,1970,0.0102
US,shweal992j,p0p50,1971,0.0099
US,shweal992j,p0p50,1972,0.0115
US,shweal992j,p0p50,1973,0.0115
US,shweal992j,p0p50,1974,0.0037
US,shweal992j,p0p50,1975,0.0094
US,shweal992j,p0p50,1976,0.0098
US,shweal992j,p0p50,1977,0.0102
US,shweal992j,p0p50,1978,0.0078
US,shweal992j,p0p50,1979,0.0089
US,shweal992j,p0p50,1980,0.0099
US,shweal992j,p0p50,1981,0.0118
US,shweal992j,p0p50,1982,0.016
US,shweal992j,p0p50,1983,0.0175
US,shweal992j,p0p50,1984,0.014
US,shweal992j,p0p50,1985,0.0156
US,shweal992j,p0p50,1986,0.016
US,shweal992j,p0p50,1987,0.0191
US,shweal992j,p0p50,1988,0.0181
US,shweal992j,p0p50,1989,0.0184
US,shweal992j,p0p50,1990,0.0169
US,shweal992j,p0p50,1991,0.0165
US,shweal992j,p0p50,1992,0.0138
US,shweal992j,p0p50,1993,0.0134
US,shweal992j,p0p50,1994,0.0115
US,shweal992j,p0p50,1995,0.0094
US,shweal992j,p0p50,1996,0.0079
US,shweal992j,p0p50,1997,0.0055
US,shweal992j,p0p50,1998,0.0051
US,shweal992j,p0p50,1999,0.0064
US,shweal992j,p0p50,2000,0.0061
US,shweal992j,p0p50,2001,0.0062
US,shweal992j,p0p50,2002,0.0062
US,shweal992j,p0p50,2003,0.0042
US,shweal992j,p0p50,2004,0.0039
US,shweal992j,p0p50,2005,0.0047
US,shweal992j,p0p50,2006,0.0018
US,shweal992j,p0p50,2007,-0.0039
US,shweal992j,p0p50,2008,-0.0123
US,shweal992j,p0p50,2009,-0.0183
US,shweal992j,p0p50,2010,-0.0182
US,shweal992j,p0p50,2011,-0.0178
US,shweal992j,p0p50,2012,-0.0164
US,shweal992j,p0p50,2013,-0.0119
US,shweal992j,p0p50,2014,-0.0078
US,shweal992j,p0p50,2015,-0.0056
US,shweal992j,p0p50,2016,-0.004
US,shweal992j,p0p50,2017,-3e-4
US,shweal992j,p0p50,2018,6e-4
US,shweal992j,p0p50,2019,0.0022
US,shweal992j,p0p50,2020,0.0036
US,shweal992j,p0p50,2021,0.0078
US,shweal992j,p0p50,2022,0.0094
US,shweal992j,p0p50,2023,0.0095
US,shweal992j,p0p50,2024,0.0096
US,shweal992j,p50p90,1820,0.2001
US,shweal992j,p50p90,1850,0.1675
US,shweal992j,p50p90,1880,0.2306
US,shweal992j,p50p90,1900,0.2143
US,shweal992j,p50p90,1910,0.187
US,shweal992j,p50p90,1913,0.1871
US,shweal992j,p50p90,1914,0.188
US,shweal992j,p50p90,1915,0.1909
US,shweal992j,p50p90,1916,0.1789
US,shweal992j,p50p90,1917,0.178
US,shweal992j,p50p90,1918,0.1944
US,shweal992j,p50p90,1919,0.1748
US,shweal992j,p50p90,1920,0.2026
US,shweal992j,p50p90,1921,0.1979
US,shweal992j,p50p90,1922,0.1883
US,shweal992j,p50p90,1923,0.162
US,shweal992j,p50p90,1924,0.1518
US,shweal992j,p50p90,1925,0.1437
US,shweal992j,p50p90,1926,0.1358
US,shweal992j,p50p90,1927,0.127
US,shweal992j,p50p90,1928,0.1253
US,shweal992j,p50p90,1929,0.1257
US,shweal992j,p50p90,1930,0.1222
US,shweal992j,p50p90,1931,0.1239
US,shweal992j,p50p90,1932,0.1311
US,shweal992j,p50p90,1933,0.1315
US,shweal992j,p50p90,1934,0.1263
US,shweal992j,p50p90,1935,0.1511
US,shweal992j,p50p90,1936,0.1529
US,shweal992j,p50p90,1937,0.1573
US,shweal992j,p50p90,1938,0.1605
US,shweal992j,p50p90,1939,0.1576
US,shweal992j,p50p90,1940,0.209
US,shweal992j,p50p90,1941,0.2232
US,shweal992j,p50p90,1942,0.2406
US,shweal992j,p50p90,1943,0.2342
US,shweal992j,p50p90,1944,0.2513
US,shweal992j,p50p90,1945,0.2421
US,shweal992j,p50p90,1946,0.2439
US,shweal992j,p50p90,1947,0.2536
US,shweal992j,p50p90,1948,0.2683
US,shweal992j,p50p90,1949,0.2807
US,shweal992j,p50p90,1950,0.2788
US,shweal992j,p50p90,1951,0.2751
US,shweal992j,p50p90,1952,0.2809
US,shweal992j,p50p90,1953,0.2853
US,shweal992j,p50p90,1954,0.2899
US,shweal992j,p50p90,1955,0.2952
US,shweal992j,p50p90,1956,0.2826
US,shweal992j,p50p90,1957,0.2679
US,shweal992j,p50p90,1958,0.2695
US,shweal992j,p50p90,1959,0.2596
US,shweal992j,p50p90,1960,0.2589
US,shweal992j,p50p90,1961,0.265
US,shweal992j,p50p90,1962,0.2748
US,shweal992j,p50p90,1963,0.2764
US,shweal992j,p50p90,1964,0.2779
US,shweal992j,p50p90,1965,0.2818
US,shweal992j,p50p90,1966,0.2854
US,shweal992j,p50p90,1967,0.2995
US,shweal992j,p50p90,1968,0.2829
US,shweal992j,p50p90,1969,0.3077
US,shweal992j,p50p90,1970,0.2945
US,shweal992j,p50p90,1971,0.3082
US,shweal992j,p50p90,1972,0.2952
US,shweal992j,p50p90,1973,0.3061
US,shweal992j,p50p90,1974,0.3298
US,shweal992j,p50p90,1975,0.3203
US,shweal992j,p50p90,1976,0.3367
US,shweal992j,p50p90,1977,0.3306
US,shweal992j,p50p90,1978,0.3531
US,shweal992j,p50p90,1979,0.3374
US,shweal992j,p50p90,1980,0.3402
US,shweal992j,p50p90,1981,0.3423
US,shweal992j,p50p90,1982,0.3487
US,shweal992j,p50p90,1983,0.3524
US,shweal992j,p50p90,1984,0.3536
US,shweal992j,p50p90,1985,0.3573
US,shweal992j,p50p90,1986,0.3548
US,shweal992j,p50p90,1987,0.3476
US,shweal992j,p50p90,1988,0.3359
US,shweal992j,p50p90,1989,0.3334
US,shweal992j,p50p90,1990,0.3322
US,shweal992j,p50p90,1991,0.3318
US,shweal992j,p50p90,1992,0.3212
US,shweal992j,p50p90,1993,0.3211
US,shweal992j,p50p90,1994,0.3207
US,shweal992j,p50p90,1995,0.3194
US,shweal992j,p50p90,1996,0.3189
US,shweal992j,p50p90,1997,0.3145
US,shweal992j,p50p90,1998,0.3085
US,shweal992j,p50p90,1999,0.3073
US,shweal992j,p50p90,2000,0.3073
US,shweal992j,p50p90,2001,0.3119
US,shweal992j,p50p90,2002,0.3123
US,shweal992j,p50p90,2003,0.3141
US,shweal992j,p50p90,2004,0.3095
US,shweal992j,p50p90,2005,0.309
US,shweal992j,p50p90,2006,0.3105
US,shweal992j,p50p90,2007,0.3073
US,shweal992j,p50p90,2008,0.3005
US,shweal992j,p50p90,2009,0.3014
US,shweal992j,p50p90,2010,0.2885
US,shweal992j,p50p90,2011,0.2825
US,shweal992j,p50p90,2012,0.2731
US,shweal992j,p50p90,2013,0.2728
US,shweal992j,p50p90,2014,0.2716
US,shweal992j,p50p90,2015,0.2735
US,shweal992j,p50p90,2016,0.2762
US,shweal992j,p50p90,2017,0.2819
US,shweal992j,p50p90,2018,0.2828
US,shweal992j,p50p90,2019,0.2837
US,shweal992j,p50p90,2020,0.2861
US,shweal992j,p50p90,2021,0.2837
