"","sleep_hours","caffeine_group","reaction_time"
"53",6.628582643345,"High",113.22642636259
"54",5.4687836621888,"None",262.354797115099
"55",4.4240742828697,"High",174.677743064199
"56",4.59679696103558,"None",308.203972006515
"57",5.8976302430965,"Moderate",211.62388505326
"58",7.11180557915941,"Moderate",180.43667434369
"59",7.9720304585062,"Moderate",164.445728389912
"60",6.44098112313077,"High",135.272480409174
"61",9.47725554555655,"None",152.479682576071
"62",5.7616202365607,"None",253.541816493397
"63",6.75439435755834,"None",238.659968476897
"64",5.99436804512516,"High",144.941237190798
"65",7.90522280242294,"High",74.7756011697232
"66",5.54810068430379,"None",261.382112665193
"67",6.87127148965374,"None",184.644726853473
"68",8.59786402387545,"Moderate",109.723014483262
"69",4.50548148620874,"Moderate",213.777372359037
"70",9.25192798022181,"Moderate",112.626993117189
"71",6.03443762706593,"High",160.304672697662
"72",9.03664210112765,"Moderate",124.690362696455
"73",6.0801009349525,"None",224.04670641173
"74",6.0026495847851,"High",139.993531113126
"75",6.85810747044161,"None",234.871363719731
"76",9.35319001507014,"Moderate",123.064574713343
"77",9.18603682378307,"None",185.866794264588
"78",6.33993726084009,"High",137.072338358785
"79",8.66392419300973,"None",182.164038744499
"80",9.76370798330754,"None",164.998401880243
"81",6.60795690864325,"High",135.082844791865
"82",8.27508807228878,"High",102.644416662934
"83",6.39996621338651,"None",245.293961765114
"84",5.95211291126907,"None",259.453077595099
"85",8.54252288816497,"None",169.421963268123
"86",5.21615353086963,"None",291.531434809456
"87",8.26672733481973,"None",203.86356728952
"88",4.73015152616426,"None",319.352879073144
"89",5.47293108375743,"None",234.826315751704
"90",4.85982627654448,"Moderate",240.013652403987
"91",5.43777649058029,"Moderate",216.961472739642
"92",4.35360626364127,"Moderate",258.26834376704
"93",7.85372955119237,"None",208.308881867761
"94",9.25761527614668,"None",194.09817688655
"95",8.67348806466907,"None",176.512026317814
"96",8.78385295532644,"Moderate",127.948576052272
"97",6.73164672171697,"Moderate",187.259728175295
"98",6.46050449227914,"Moderate",182.775019651412
"99",8.86522145662457,"Moderate",138.163749124008
"100",7.62959974166006,"Moderate",190.180133549602
"101",7.92834356846288,"None",197.307771086968
"102",6.11918363161385,"Moderate",205.781566076867
"103",5.6215608753264,"Moderate",198.619681257705
"104",9.9561043670401,"Moderate",91.659920849482
"105",7.80095958663151,"Moderate",127.732919513075
"106",5.27924881130457,"None",275.721185464667
"107",4.77623408846557,"None",286.136034344326
"108",6.86870820587501,"High",111.873274052687
"109",9.54444681899622,"None",158.296661025506
"110",7.59256580285728,"Moderate",148.792901730568
"111",9.85702416952699,"None",154.526507205963
"112",8.39075507130474,"None",186.751461449882
"113",6.14036147249863,"High",120.393437012985
"114",6.58884214330465,"None",259.79861069964
"115",4.88926936406642,"High",173.45452856707
"116",4.07846545288339,"None",294.83007440547
"117",8.29339639656246,"Moderate",149.587070820109
"118",4.61910541448742,"Moderate",227.951327630439
"119",6.67770609166473,"Moderate",160.440242569229
"120",7.84060627082363,"High",109.495983568672
"121",9.95103172026575,"None",156.945375879849
"122",6.97356146713719,"High",135.323917980724
"123",6.90609714621678,"None",225.481046548272
"124",5.04065400920808,"None",295.984818667607
"125",8.52892566705123,"None",196.885788470283
"126",6.72337293531746,"High",147.310208990966
"127",7.06701870262623,"None",219.288917249807
"128",5.24527067970484,"High",175.742877202384
"129",5.37194885639474,"Moderate",227.757641678345
"130",7.57427197787911,"None",212.104150371864
"131",7.44923318969086,"High",137.53205239078
"132",4.46238628169522,"High",161.980448856464
"133",4.21324347751215,"Moderate",262.691796704163
"134",7.85677295317873,"None",191.621534652048
"135",9.57169119780883,"High",74.3527767493231
"136",7.5885545341298,"Moderate",174.154338687121
"137",7.36540448805317,"None",221.036814653616
"138",7.15616634348407,"Moderate",168.387079339988
"139",9.91057134326547,"High",44.9774793081378
"140",7.0458509339951,"None",238.079566911254
"141",8.0967284720391,"Moderate",157.772224653268
"142",7.60924730589613,"Moderate",158.365452746767
"143",5.43321206653491,"Moderate",206.818403960395
"144",5.54899556003511,"None",253.482060993889
"145",8.37585774017498,"None",178.08517100034
"146",6.71542498841882,"None",220.764661149229
"147",5.05076061049476,"None",290.073537165665
"148",8.48018961772323,"Moderate",151.722997135156
"149",4.62992584239691,"None",299.36231942482
"150",9.18726969417185,"None",166.220887749569
