participant_id,condition,video_type,deepfake_true,deepfake_perceived,correct,reaction_time_ms,engagement_rating,EEG_attention,content_recall
6,Unfamiliar,Entertainment,0,1,0,710,5.1,0.558,1
6,Unfamiliar,Entertainment,1,1,1,1135,4.1,0.753,0
6,Unfamiliar,Entertainment,0,0,1,1235,4.5,0.586,1
7,Unfamiliar,Entertainment,1,1,1,908,5.1,0.61,0
7,Unfamiliar,Political,1,0,0,1055,3.1,0.786,1
7,Unfamiliar,Educational,0,0,1,648,7.7,0.69,0
7,Unfamiliar,Educational,1,0,0,780,4.3,0.525,0
7,Unfamiliar,Educational,0,1,0,1290,6.8,0.659,0
7,Unfamiliar,Entertainment,1,1,1,1365,7.5,0.738,1
7,Unfamiliar,Political,0,1,0,1144,6.2,0.77,1
7,Unfamiliar,Entertainment,0,0,1,752,5.0,0.692,1
7,Unfamiliar,Educational,0,0,1,1298,6.6,0.591,1
7,Unfamiliar,Political,0,0,1,1759,3.9,0.593,1
7,Unfamiliar,Educational,0,0,1,1029,4.5,0.891,1
7,Unfamiliar,Political,0,0,1,924,6.0,0.585,1
8,Familiar,Entertainment,1,1,1,495,9.6,0.49,0
8,Familiar,Educational,0,0,1,648,6.8,0.483,0
8,Familiar,Entertainment,0,0,1,928,6.8,0.742,0
8,Familiar,Political,0,0,1,358,4.0,0.57,0
8,Familiar,Educational,0,0,1,506,6.9,0.557,0
8,Familiar,Educational,0,0,1,1201,6.8,0.48,0
8,Familiar,Political,0,1,0,583,6.2,0.477,0
8,Familiar,Political,1,1,1,615,6.5,0.458,0
8,Familiar,Entertainment,0,1,0,423,8.5,0.634,0
8,Familiar,Political,1,1,1,2350,5.6,0.423,0
8,Familiar,Educational,0,0,1,1057,6.0,0.604,0
8,Familiar,Educational,0,0,1,818,7.2,0.503,0
9,Familiar,Educational,0,0,1,796,5.7,0.431,0
9,Familiar,Educational,0,0,1,1018,8.1,0.49,0
9,Familiar,Entertainment,0,0,1,609,8.3,0.528,0
9,Familiar,Political,0,0,1,760,6.4,0.435,0
9,Familiar,Educational,1,1,1,644,7.1,0.57,0
9,Familiar,Educational,0,0,1,740,7.5,0.425,0
9,Familiar,Educational,0,1,0,1898,7.8,0.554,0
9,Familiar,Political,0,0,1,533,5.4,0.478,0
9,Familiar,Entertainment,0,0,1,819,7.6,0.408,0
9,Familiar,Political,0,0,1,519,4.9,0.529,0
9,Familiar,Educational,0,0,1,563,8.4,0.471,1
9,Familiar,Educational,1,1,1,581,5.5,0.757,1
10,Unfamiliar,Educational,0,1,0,1058,7.5,0.834,1
10,Unfamiliar,Political,1,1,1,885,5.1,0.641,1
10,Unfamiliar,Entertainment,1,1,1,1836,6.6,0.591,1
10,Unfamiliar,Educational,0,1,0,1631,3.0,0.699,0
10,Unfamiliar,Educational,1,1,1,1520,5.6,0.656,0
10,Unfamiliar,Educational,1,0,0,1132,4.7,0.774,0
10,Unfamiliar,Educational,0,1,0,865,5.3,0.751,1
10,Unfamiliar,Educational,0,0,1,1047,6.2,0.626,1
10,Unfamiliar,Political,0,0,1,1606,4.6,0.73,1
10,Unfamiliar,Educational,0,0,1,795,4.4,0.601,0
10,Unfamiliar,Educational,0,1,0,837,8.3,0.539,0
10,Unfamiliar,Educational,0,1,0,1280,7.1,0.672,0
11,Unfamiliar,Political,0,0,1,705,5.8,0.627,0
11,Unfamiliar,Political,1,1,1,2090,7.2,0.589,0
11,Unfamiliar,Educational,0,0,1,1016,5.3,0.575,0
11,Unfamiliar,Entertainment,1,1,1,1240,8.3,0.734,1
11,Unfamiliar,Political,0,0,1,1874,5.5,0.651,1
11,Unfamiliar,Entertainment,1,1,1,1098,4.5,0.568,1
11,Unfamiliar,Entertainment,0,1,0,1215,8.1,0.63,0
11,Unfamiliar,Entertainment,0,1,0,1620,6.2,0.47,0
11,Unfamiliar,Educational,0,0,1,1007,7.0,0.746,1
11,Unfamiliar,Educational,0,0,1,2004,3.7,0.789,1
11,Unfamiliar,Entertainment,0,0,1,715,8.3,0.681,0
11,Unfamiliar,Entertainment,1,1,1,1281,5.4,0.58,0
12,Unfamiliar,Entertainment,0,1,0,1111,6.1,0.699,1
12,Unfamiliar,Educational,0,0,1,1449,6.6,0.775,0
12,Unfamiliar,Educational,0,0,1,838,6.6,0.69,0
12,Unfamiliar,Educational,0,0,1,700,4.8,0.888,0
12,Unfamiliar,Political,0,0,1,902,4.7,0.626,0
12,Unfamiliar,Entertainment,0,0,1,1047,6.2,0.662,0
12,Unfamiliar,Entertainment,1,0,0,649,7.8,0.541,0
12,Unfamiliar,Educational,1,1,1,814,7.5,0.685,0
12,Unfamiliar,Educational,1,1,1,1171,4.5,0.622,0
12,Unfamiliar,Educational,0,0,1,1106,5.4,0.78,1
12,Unfamiliar,Entertainment,0,0,1,1184,6.8,0.733,1
12,Unfamiliar,Entertainment,0,1,0,976,7.3,0.853,1
13,Unfamiliar,Entertainment,0,0,1,1878,8.2,0.635,1
13,Unfamiliar,Entertainment,0,1,0,1223,7.6,0.628,1
13,Unfamiliar,Educational,1,1,1,600,4.5,0.595,0
13,Unfamiliar,Educational,0,0,1,1568,6.2,0.646,1
13,Unfamiliar,Entertainment,1,1,1,808,7.6,0.694,1
13,Unfamiliar,Entertainment,1,1,1,805,7.5,0.67,1
13,Unfamiliar,Entertainment,0,0,1,888,7.3,0.515,0
13,Unfamiliar,Educational,0,1,0,590,7.7,0.589,0
13,Unfamiliar,Entertainment,1,1,1,918,6.8,0.706,1
13,Unfamiliar,Entertainment,0,1,0,1284,7.7,0.642,0
13,Unfamiliar,Entertainment,0,0,1,1306,4.9,0.638,1
13,Unfamiliar,Entertainment,0,1,0,990,4.4,0.559,0
14,Familiar,Educational,0,0,1,546,6.1,0.748,1
14,Familiar,Political,1,0,0,925,7.1,0.602,0
14,Familiar,Entertainment,0,1,0,1123,7.9,0.372,0
14,Familiar,Entertainment,1,1,1,1268,7.9,0.325,0
14,Familiar,Educational,0,0,1,483,6.4,0.462,0
14,Familiar,Educational,1,1,1,850,7.6,0.495,0
14,Familiar,Entertainment,0,0,1,675,9.6,0.692,0
14,Familiar,Educational,0,0,1,442,6.5,0.573,1
14,Familiar,Political,0,1,0,816,7.0,0.563,0
14,Familiar,Educational,1,1,1,986,7.7,0.646,0
14,Familiar,Educational,1,1,1,731,6.8,0.503,0
14,Familiar,Entertainment,1,1,1,539,7.8,0.432,0
15,Unfamiliar,Entertainment,0,0,1,784,6.2,0.716,1
15,Unfamiliar,Political,1,1,1,711,4.5,0.65,1
15,Unfamiliar,Educational,0,1,0,881,6.8,0.676,1
15,Unfamiliar,Entertainment,0,0,1,916,5.8,0.778,0
15,Unfamiliar,Political,0,0,1,1072,5.9,0.491,0
15,Unfamiliar,Educational,1,1,1,963,8.3,0.797,0
15,Unfamiliar,Political,1,1,1,701,3.5,0.762,1
15,Unfamiliar,Entertainment,0,1,0,1029,7.5,0.749,0
15,Unfamiliar,Political,0,0,1,800,2.1,0.595,0
15,Unfamiliar,Educational,0,1,0,799,5.3,0.619,1
15,Unfamiliar,Political,1,0,0,1311,5.6,0.664,0
15,Unfamiliar,Educational,1,1,1,1521,5.5,0.759,1
16,Familiar,Educational,1,0,0,1031,6.5,0.604,0
16,Familiar,Educational,0,0,1,1282,8.7,0.529,0
16,Familiar,Entertainment,1,1,1,1695,8.1,0.512,0
16,Familiar,Entertainment,0,0,1,1364,6.2,0.547,0
16,Familiar,Entertainment,0,0,1,828,7.8,0.504,0
16,Familiar,Entertainment,1,1,1,791,6.5,0.655,1
16,Familiar,Entertainment,1,1,1,408,9.6,0.553,0
16,Familiar,Entertainment,1,1,1,883,9.3,0.491,0
16,Familiar,Entertainment,0,0,1,444,8.4,0.681,1
16,Familiar,Educational,0,0,1,387,8.9,0.484,0
16,Familiar,Entertainment,1,0,0,1528,7.9,0.379,0
16,Familiar,Educational,0,0,1,1013,5.8,0.602,0
17,Unfamiliar,Political,0,0,1,1607,7.0,0.751,1
17,Unfamiliar,Educational,0,0,1,1114,5.5,0.717,0
17,Unfamiliar,Political,1,0,0,853,5.8,0.644,0
17,Unfamiliar,Educational,0,0,1,1230,4.9,0.62,0
17,Unfamiliar,Educational,1,1,1,1209,3.9,0.675,0
17,Unfamiliar,Entertainment,1,1,1,704,6.4,0.669,0
17,Unfamiliar,Entertainment,1,0,0,1236,3.7,0.547,0
17,Unfamiliar,Political,0,1,0,1358,7.5,0.556,0
17,Unfamiliar,Educational,1,0,0,736,7.0,0.666,0
17,Unfamiliar,Educational,0,1,0,718,4.8,0.673,0
17,Unfamiliar,Educational,1,1,1,792,5.2,0.554,1
17,Unfamiliar,Entertainment,0,0,1,822,6.1,0.648,0
18,Unfamiliar,Educational,0,1,0,913,4.5,0.728,0
18,Unfamiliar,Educational,1,1,1,837,6.2,0.756,1
18,Unfamiliar,Entertainment,1,1,1,1314,7.9,0.686,1
18,Unfamiliar,Political,1,1,1,1502,6.3,0.542,0
18,Unfamiliar,Political,1,1,1,702,4.8,0.425,0
18,Unfamiliar,Educational,0,1,0,967,5.4,0.605,1
18,Unfamiliar,Political,0,0,1,1006,5.3,0.648,0
18,Unfamiliar,Educational,0,0,1,781,5.2,0.894,1
18,Unfamiliar,Entertainment,1,0,0,1078,6.1,0.605,0
18,Unfamiliar,Entertainment,1,1,1,734,6.0,0.566,1
18,Unfamiliar,Educational,1,1,1,967,5.7,0.789,1
18,Unfamiliar,Entertainment,0,0,1,1677,7.4,0.352,0
19,Unfamiliar,Entertainment,0,0,1,1168,6.6,0.681,1
19,Unfamiliar,Political,0,1,0,641,4.8,0.404,0
19,Unfamiliar,Entertainment,1,0,0,1238,6.1,0.566,0
19,Unfamiliar,Educational,1,1,1,667,5.5,0.557,0
19,Unfamiliar,Political,0,1,0,2688,3.9,0.596,0
19,Unfamiliar,Entertainment,1,1,1,1943,6.2,0.696,1
19,Unfamiliar,Entertainment,0,0,1,1122,8.5,0.578,0
19,Unfamiliar,Entertainment,1,1,1,1044,5.1,0.583,0
19,Unfamiliar,Educational,0,0,1,1176,5.4,0.534,0
19,Unfamiliar,Political,0,0,1,918,4.2,0.577,0
19,Unfamiliar,Entertainment,0,0,1,1278,6.2,0.612,1
19,Unfamiliar,Educational,0,1,0,1367,6.6,0.768,1
20,Familiar,Entertainment,0,0,1,591,9.1,0.387,0
20,Familiar,Educational,1,1,1,511,7.4,0.366,0
20,Familiar,Educational,0,0,1,542,7.4,0.428,0
20,Familiar,Entertainment,0,1,0,1133,7.8,0.505,0
20,Familiar,Educational,0,1,0,317,7.3,0.518,0
20,Familiar,Educational,0,0,1,1306,8.5,0.63,0
20,Familiar,Entertainment,0,0,1,769,8.5,0.489,0
20,Familiar,Political,0,0,1,495,5.7,0.46,0
20,Familiar,Educational,0,0,1,744,6.0,0.589,0
20,Familiar,Educational,0,0,1,298,5.3,0.421,0
20,Familiar,Educational,0,0,1,376,7.4,0.549,0
20,Familiar,Entertainment,0,0,1,576,8.2,0.439,0
21,Familiar,Entertainment,0,1,0,738,7.8,0.455,0
21,Familiar,Entertainment,0,0,1,803,8.1,0.539,0
21,Familiar,Entertainment,0,0,1,421,10.0,0.509,0
21,Familiar,Entertainment,0,0,1,1140,8.9,0.476,0
21,Familiar,Entertainment,0,1,0,575,8.4,0.339,0
21,Familiar,Entertainment,1,1,1,536,7.0,0.594,0
21,Familiar,Political,0,1,0,515,4.6,0.404,0
21,Familiar,Entertainment,1,1,1,1443,6.3,0.752,1
21,Familiar,Political,1,0,0,432,7.2,0.353,0
21,Familiar,Entertainment,1,1,1,1186,7.4,0.467,0
21,Familiar,Political,1,0,0,609,8.4,0.492,0
21,Familiar,Educational,0,0,1,2106,7.7,0.536,0
22,Unfamiliar,Political,0,0,1,1388,3.2,0.385,0
22,Unfamiliar,Educational,0,0,1,1023,4.6,0.766,0
22,Unfamiliar,Educational,1,0,0,2216,6.9,0.768,1
22,Unfamiliar,Educational,1,1,1,877,4.7,0.923,1
22,Unfamiliar,Entertainment,0,0,1,625,8.1,0.668,0
22,Unfamiliar,Entertainment,1,0,0,894,6.5,0.749,0
22,Unfamiliar,Political,0,0,1,859,2.8,0.602,0
22,Unfamiliar,Entertainment,1,1,1,1373,5.5,0.652,0
22,Unfamiliar,Educational,0,0,1,766,7.1,0.874,0
22,Unfamiliar,Educational,0,0,1,1118,4.5,0.817,1
22,Unfamiliar,Educational,0,0,1,1391,4.8,0.78,0
22,Unfamiliar,Political,1,1,1,871,2.2,0.674,0
23,Familiar,Educational,0,0,1,409,5.3,0.554,0
23,Familiar,Educational,0,0,1,709,8.3,0.588,0
23,Familiar,Educational,0,0,1,1169,7.8,0.341,0
23,Familiar,Entertainment,1,1,1,1138,9.8,0.659,0
23,Familiar,Entertainment,0,0,1,1494,8.0,0.295,0
23,Familiar,Entertainment,0,0,1,1067,9.2,0.311,0
23,Familiar,Entertainment,0,0,1,628,9.1,0.509,1
23,Familiar,Entertainment,1,1,1,1060,8.2,0.614,1
23,Familiar,Entertainment,0,1,0,988,7.2,0.658,0
23,Familiar,Entertainment,0,0,1,589,6.5,0.422,0
23,Familiar,Political,0,0,1,767,7.5,0.353,0
23,Familiar,Educational,0,0,1,471,6.6,0.579,0
24,Familiar,Entertainment,1,0,0,1311,6.2,0.69,1
24,Familiar,Educational,1,1,1,436,7.7,0.575,0
24,Familiar,Entertainment,0,0,1,510,7.9,0.432,0
24,Familiar,Entertainment,0,0,1,1642,8.6,0.513,0
24,Familiar,Educational,1,1,1,845,4.4,0.495,0
24,Familiar,Educational,0,1,0,529,9.6,0.421,0
24,Familiar,Entertainment,1,1,1,330,8.6,0.49,0
24,Familiar,Educational,1,1,1,605,7.8,0.573,1
24,Familiar,Political,0,1,0,740,6.6,0.528,0
24,Familiar,Political,0,0,1,1323,7.3,0.313,0
24,Familiar,Entertainment,1,0,0,771,7.1,0.353,0
24,Familiar,Educational,1,1,1,1784,6.9,0.448,0
25,Unfamiliar,Entertainment,0,0,1,1043,5.9,0.719,1
25,Unfamiliar,Educational,0,1,0,1175,5.9,0.531,0
25,Unfamiliar,Political,1,1,1,858,3.9,0.515,0
25,Unfamiliar,Educational,1,1,1,1487,7.2,0.724,0
25,Unfamiliar,Political,1,1,1,1337,5.7,0.569,0
25,Unfamiliar,Entertainment,0,1,0,1254,6.3,0.661,0
25,Unfamiliar,Educational,1,0,0,1699,5.1,0.627,0
25,Unfamiliar,Entertainment,1,1,1,1208,6.0,0.672,0
25,Unfamiliar,Political,0,0,1,1535,5.4,0.705,0
25,Unfamiliar,Entertainment,1,0,0,662,6.9,0.596,0
25,Unfamiliar,Political,1,0,0,1356,5.7,0.534,0
25,Unfamiliar,Entertainment,0,1,0,692,8.3,0.551,0
26,Unfamiliar,Educational,1,0,0,1582,4.1,0.725,1
26,Unfamiliar,Educational,1,1,1,1544,5.5,0.606,0
26,Unfamiliar,Entertainment,0,0,1,732,6.4,0.586,0
26,Unfamiliar,Political,1,1,1,1452,6.5,0.506,0
26,Unfamiliar,Entertainment,1,0,0,978,5.5,0.604,0
26,Unfamiliar,Political,1,0,0,979,4.6,0.597,1
26,Unfamiliar,Entertainment,0,1,0,824,8.6,0.62,0
26,Unfamiliar,Educational,0,1,0,1051,4.6,0.692,0
26,Unfamiliar,Entertainment,1,1,1,1237,6.3,0.66,1
26,Unfamiliar,Entertainment,1,1,1,670,5.6,0.81,0
26,Unfamiliar,Educational,0,1,0,632,5.9,0.667,1
26,Unfamiliar,Entertainment,1,1,1,2107,5.8,0.525,0
27,Familiar,Educational,1,1,1,1676,8.6,0.467,0
27,Familiar,Political,0,0,1,561,3.8,0.316,0
27,Familiar,Political,0,0,1,817,5.2,0.544,0
27,Familiar,Political,1,1,1,432,5.7,0.649,1
27,Familiar,Entertainment,0,1,0,521,7.2,0.557,0
27,Familiar,Entertainment,1,1,1,676,7.7,0.459,0
27,Familiar,Political,0,0,1,488,4.2,0.689,0
27,Familiar,Entertainment,0,0,1,1387,10.0,0.411,0
27,Familiar,Educational,0,0,1,517,6.6,0.698,0
27,Familiar,Educational,1,1,1,985,7.8,0.622,0
27,Familiar,Educational,0,0,1,504,5.8,0.556,1
27,Familiar,Educational,0,0,1,1046,5.9,0.32,0
28,Familiar,Political,0,0,1,568,6.6,0.539,1
28,Familiar,Political,0,0,1,1429,6.1,0.498,0
28,Familiar,Entertainment,0,0,1,893,6.9,0.425,0
28,Familiar,Educational,1,0,0,1156,5.7,0.533,0
28,Familiar,Entertainment,0,0,1,341,7.7,0.596,0
28,Familiar,Entertainment,1,1,1,522,7.9,0.607,1
28,Familiar,Entertainment,0,0,1,858,9.7,0.573,0
28,Familiar,Educational,0,0,1,561,5.3,0.607,0
28,Familiar,Political,0,0,1,663,4.4,0.471,0
28,Familiar,Political,0,0,1,1440,5.0,0.527,0
28,Familiar,Educational,0,1,0,453,8.7,0.664,0
28,Familiar,Educational,1,1,1,953,9.5,0.739,1
29,Unfamiliar,Entertainment,1,1,1,713,7.1,0.748,0
29,Unfamiliar,Political,1,0,0,954,5.9,0.829,1
29,Unfamiliar,Political,1,0,0,795,4.2,0.674,1
29,Unfamiliar,Educational,1,1,1,1052,3.8,0.641,1
29,Unfamiliar,Educational,0,1,0,634,3.9,0.649,1
29,Unfamiliar,Educational,0,0,1,769,5.0,0.632,1
29,Unfamiliar,Entertainment,1,1,1,794,6.2,0.604,0
29,Unfamiliar,Educational,0,0,1,1088,5.8,0.728,1
29,Unfamiliar,Entertainment,0,1,0,1210,8.2,0.635,0
29,Unfamiliar,Entertainment,1,1,1,1321,8.1,0.441,0
29,Unfamiliar,Entertainment,0,0,1,1476,8.5,0.613,0
29,Unfamiliar,Educational,0,1,0,849,4.5,0.614,0
30,Unfamiliar,Educational,0,0,1,1755,7.3,0.513,0
30,Unfamiliar,Entertainment,0,0,1,656,6.6,0.502,1
30,Unfamiliar,Entertainment,0,0,1,1338,8.0,0.583,0
30,Unfamiliar,Educational,0,1,0,1594,6.1,0.807,1
30,Unfamiliar,Entertainment,1,1,1,1132,8.0,0.61,0
30,Unfamiliar,Entertainment,1,1,1,1452,6.5,0.71,1
30,Unfamiliar,Entertainment,1,0,0,777,6.6,0.676,1
30,Unfamiliar,Entertainment,0,0,1,1248,7.2,0.55,0
30,Unfamiliar,Entertainment,0,0,1,620,5.3,0.627,1
30,Unfamiliar,Political,0,1,0,1090,5.7,0.628,0
30,Unfamiliar,Entertainment,1,0,0,872,6.3,0.695,1
30,Unfamiliar,Educational,0,0,1,1228,6.1,0.628,1
31,Unfamiliar,Educational,1,0,0,793,4.8,0.861,0
31,Unfamiliar,Educational,0,1,0,793,6.8,0.736,1
31,Unfamiliar,Political,1,1,1,686,3.5,0.497,1
31,Unfamiliar,Political,0,0,1,997,3.0,0.777,1
31,Unfamiliar,Political,1,1,1,997,2.8,0.722,1
31,Unfamiliar,Educational,1,0,0,1021,4.5,0.721,0
31,Unfamiliar,Entertainment,1,0,0,1414,7.8,0.342,0
31,Unfamiliar,Entertainment,0,0,1,1149,6.0,0.638,0
31,Unfamiliar,Entertainment,0,0,1,1598,5.0,0.655,0
31,Unfamiliar,Entertainment,0,0,1,2218,6.0,0.748,0
31,Unfamiliar,Educational,0,0,1,1149,4.5,0.769,0
31,Unfamiliar,Entertainment,1,0,0,718,6.1,0.844,1
32,Unfamiliar,Entertainment,0,0,1,1527,8.0,0.432,0
32,Unfamiliar,Political,1,1,1,737,2.2,0.585,1
32,Unfamiliar,Entertainment,1,1,1,881,5.2,0.687,1
32,Unfamiliar,Entertainment,1,0,0,902,7.1,0.778,1
32,Unfamiliar,Political,0,1,0,670,3.9,0.694,1
32,Unfamiliar,Entertainment,0,0,1,1121,6.7,0.625,1
32,Unfamiliar,Educational,0,0,1,730,5.5,0.554,0
32,Unfamiliar,Educational,1,0,0,1002,6.9,0.514,0
32,Unfamiliar,Educational,1,1,1,1059,3.9,0.749,0
32,Unfamiliar,Entertainment,0,0,1,710,6.5,0.504,1
32,Unfamiliar,Entertainment,0,1,0,757,8.0,0.79,1
32,Unfamiliar,Educational,0,1,0,1350,6.5,0.657,0
33,Familiar,Educational,0,0,1,680,5.4,0.605,0
33,Familiar,Educational,0,0,1,1933,7.3,0.446,0
33,Familiar,Educational,0,0,1,785,7.6,0.453,0
33,Familiar,Entertainment,1,1,1,930,6.8,0.614,1
33,Familiar,Educational,0,0,1,1065,6.3,0.493,0
33,Familiar,Entertainment,0,0,1,1580,8.6,0.387,0
33,Familiar,Political,1,1,1,645,7.3,0.541,0
33,Familiar,Entertainment,1,0,0,1043,8.9,0.376,0
33,Familiar,Political,0,1,0,751,3.8,0.595,0
33,Familiar,Political,0,0,1,766,4.5,0.455,0
33,Familiar,Educational,0,0,1,727,9.0,0.572,0
33,Familiar,Educational,0,1,0,1585,8.5,0.448,0
34,Unfamiliar,Entertainment,0,0,1,654,6.6,0.481,0
34,Unfamiliar,Entertainment,0,0,1,1360,5.8,0.641,0
34,Unfamiliar,Educational,0,0,1,1144,5.4,0.749,1
34,Unfamiliar,Educational,0,1,0,1107,5.4,0.597,0
34,Unfamiliar,Educational,1,1,1,1242,4.0,0.605,0
34,Unfamiliar,Entertainment,1,1,1,1616,5.4,0.628,1
34,Unfamiliar,Entertainment,0,0,1,1552,7.5,0.523,0
34,Unfamiliar,Political,1,0,0,851,4.8,0.475,0
34,Unfamiliar,Entertainment,1,1,1,813,8.3,0.61,1
34,Unfamiliar,Political,1,0,0,870,3.3,0.603,0
34,Unfamiliar,Educational,1,0,0,2341,6.1,0.625,1
34,Unfamiliar,Entertainment,0,0,1,962,5.6,0.538,0
35,Unfamiliar,Entertainment,0,0,1,808,7.7,0.621,0
35,Unfamiliar,Educational,0,0,1,1112,7.2,0.614,0
35,Unfamiliar,Entertainment,0,1,0,867,6.6,0.792,1
35,Unfamiliar,Political,1,0,0,819,2.6,0.596,0
35,Unfamiliar,Educational,1,1,1,865,3.7,0.709,0
35,Unfamiliar,Educational,1,1,1,900,6.4,0.641,1
35,Unfamiliar,Political,1,1,1,912,6.8,0.74,1
35,Unfamiliar,Political,0,0,1,1509,4.9,0.652,1
35,Unfamiliar,Entertainment,0,1,0,791,6.0,0.667,1
35,Unfamiliar,Entertainment,1,1,1,974,7.7,0.68,0
35,Unfamiliar,Entertainment,0,0,1,629,6.1,0.709,0
35,Unfamiliar,Political,0,1,0,1119,3.9,0.681,1
36,Unfamiliar,Educational,1,1,1,1158,5.8,0.741,1
36,Unfamiliar,Entertainment,0,0,1,661,5.3,0.414,0
36,Unfamiliar,Educational,0,0,1,744,6.6,0.6,1
36,Unfamiliar,Entertainment,0,1,0,822,7.3,0.552,0
36,Unfamiliar,Entertainment,1,1,1,935,7.7,0.728,0
36,Unfamiliar,Political,1,0,0,758,2.3,0.497,0
36,Unfamiliar,Political,1,1,1,1877,5.6,0.699,1
36,Unfamiliar,Educational,0,0,1,690,7.3,0.613,0
36,Unfamiliar,Educational,1,1,1,1244,4.1,0.529,0
36,Unfamiliar,Entertainment,0,0,1,866,5.8,0.422,0
36,Unfamiliar,Political,0,0,1,2061,5.0,0.556,0
36,Unfamiliar,Educational,1,1,1,2346,5.4,0.861,1
37,Familiar,Educational,1,1,1,1011,4.7,0.677,0
37,Familiar,Political,1,0,0,1014,6.5,0.501,0
37,Familiar,Entertainment,1,1,1,722,7.9,0.442,0
37,Familiar,Political,1,0,0,1160,7.1,0.551,1
37,Familiar,Entertainment,0,0,1,903,10.0,0.468,0
