"","stress_level","training_group","recall_score"
"96",2.77099143969826,"No Training",75.6313699970381
"97",4.84249062463641,"No Training",67.0189268751832
"98",1.83722668746486,"No Training",72.3542342515648
"99",2.03778214217164,"No Training",72.075168266975
"100",4.96028488781303,"No Training",68.6165335250422
"101",2.80841256584972,"Mindfulness",82.4496464505546
"102",4.84875165484846,"Mindfulness",77.389951132185
"103",9.825399835594,"No Training",27.0816253088079
"104",8.46029912959784,"Mindfulness",65.7766367777405
"105",3.58276469493285,"Mindfulness",82.8524401750677
"106",6.36325207143091,"No Training",54.1668877529808
"107",9.09074751590379,"No Training",35.0062544342238
"108",5.08039300260134,"Mindfulness",79.6760381164964
"109",2.3267600138206,"Mindfulness",87.1609247384566
"110",2.15809284336865,"No Training",88.3427024558441
"111",1.22190703917295,"Mindfulness",93.6125776824534
"112",7.62680237437598,"No Training",34.4675770979234
"113",4.36022708006203,"Mindfulness",75.0692824871359
"114",6.16939246444963,"Mindfulness",79.2330788050271
"115",8.42795212054625,"No Training",30.8239951671889
"116",8.32326106447726,"Mindfulness",72.0273396636881
"117",8.85426706285216,"Mindfulness",58.7309697090409
"118",1.9949940959923,"Mindfulness",88.1815219515087
"119",9.5743021313101,"Mindfulness",64.9515265685926
"120",6.12101872847416,"No Training",50.334688674412
