"","GEOID","county","income","bachelors","poverty_total","poverty","total"
"90","02195","Petersburg Borough, Alaska",77826,448,3325,153,3374
"91","02198","Prince of Wales-Hyder Census Area, Alaska",61779,566,5742,879,5799
"92","02220","Sitka City and Borough, Alaska",95261,1391,8278,571,8462
"93","02230","Skagway Municipality, Alaska",79583,214,1303,81,1303
"94","02240","Southeast Fairbanks Census Area, Alaska",75378,622,6820,898,6888
"95","02275","Wrangell City and Borough, Alaska",61000,217,2110,213,2134
"96","02282","Yakutat City and Borough, Alaska",76875,38,561,56,564
"97","02290","Yukon-Koyukuk Census Area, Alaska",47826,333,5308,1216,5355
"98","04001","Apache County, Arizona",37483,3475,64716,21058,66054
"99","04003","Cochise County, Arizona",58421,14684,119388,17553,125504
"100","04005","Coconino County, Arizona",67266,20215,133468,22531,144705
"101","04007","Gila County, Arizona",55242,4700,52176,9910,53419
"102","04009","Graham County, Arizona",64089,2192,35262,6230,38453
"103","04011","Greenlee County, Arizona",73756,774,9428,1208,9483
"104","04012","La Paz County, Arizona",46634,1103,16364,3435,16681
"105","04013","Maricopa County, Arizona",80675,655112,4368048,503565,4430871
"106","04015","Mohave County, Arizona",53592,14796,209848,33597,214229
"107","04017","Navajo County, Arizona",50335,7133,104364,26591,107110
"108","04019","Pima County, Arizona",64323,140892,1014998,151733,1042393
"109","04021","Pinal County, Arizona",73313,43734,411007,46424,433338
"110","04023","Santa Cruz County, Arizona",51885,4308,47614,9622,47838
"111","04025","Yavapai County, Arizona",62430,31291,233449,28765,237830
"112","04027","Yuma County, Arizona",56439,14038,197646,34654,204374
"113","05001","Arkansas County, Arkansas",58695,1237,16719,2816,17024
"114","05003","Ashley County, Arkansas",44804,1090,18864,4390,19018
"115","05005","Baxter County, Arkansas",47403,4004,41303,5587,41801
"116","05007","Benton County, Arkansas",85269,43246,282793,22289,286528
"117","05009","Boone County, Arkansas",52275,2892,36991,4869,37662
"118","05011","Bradley County, Arkansas",43688,620,10363,1570,10461
"119","05013","Calhoun County, Arkansas",60237,266,4596,574,4773
"120","05015","Carroll County, Arkansas",56826,2932,28046,4329,28362
"121","05017","Chicot County, Arkansas",36593,889,9542,2618,10234
"122","05019","Clark County, Arkansas",48071,2161,19070,3812,21469
"123","05021","Clay County, Arkansas",44685,898,14358,2789,14537
"124","05023","Cleburne County, Arkansas",52780,2123,24565,3469,24948
"125","05025","Cleveland County, Arkansas",48913,546,7472,1013,7548
"126","05027","Columbia County, Arkansas",47441,1884,20756,4675,22707
"127","05029","Conway County, Arkansas",50282,2044,20647,4313,20782
"128","05031","Craighead County, Arkansas",55169,12275,107299,20511,111038
"129","05033","Crawford County, Arkansas",56702,5977,59501,10620,60593
"130","05035","Crittenden County, Arkansas",51860,3808,47239,9305,47945
"131","05037","Cross County, Arkansas",48129,1235,16611,3357,16827
"132","05039","Dallas County, Arkansas",40085,408,6071,723,6472
"133","05041","Desha County, Arkansas",38067,636,11180,3044,11285
"134","05043","Drew County, Arkansas",44968,1856,16446,3513,17309
"135","05045","Faulkner County, Arkansas",61273,15574,119166,18478,124611
"136","05047","Franklin County, Arkansas",47695,1051,16874,3412,17160
"137","05049","Fulton County, Arkansas",38917,830,12010,1841,12183
"138","05051","Garland County, Arkansas",54229,11550,98465,16604,100021
"139","05053","Grant County, Arkansas",68598,1730,17811,2413,18022
"140","05055","Greene County, Arkansas",54879,3283,44942,7892,45954
"141","05057","Hempstead County, Arkansas",45049,1279,19727,4536,20037
"142","05059","Hot Spring County, Arkansas",50260,2420,30864,6093,33129
"143","05061","Howard County, Arkansas",44824,844,12564,2301,12779
"144","05063","Independence County, Arkansas",52361,2948,36843,7124,37910
"145","05065","Izard County, Arkansas",46159,1391,12680,2503,13748
"146","05067","Jackson County, Arkansas",41929,927,14466,2957,16784
"147","05069","Jefferson County, Arkansas",46855,6384,60595,11818,66934
"148","05071","Johnson County, Arkansas",42470,1771,25179,5327,25925
"149","05073","Lafayette County, Arkansas",40262,324,6145,1328,6277
"150","05075","Lawrence County, Arkansas",43606,957,15694,2791,16258
"151","05077","Lee County, Arkansas",33801,394,7111,1964,8666
"152","05079","Lincoln County, Arkansas",50526,547,8377,1481,13016
"153","05081","Little River County, Arkansas",58627,974,11768,1394,12024
"154","05083","Logan County, Arkansas",51131,1379,20892,3036,21247
"155","05085","Lonoke County, Arkansas",68078,6608,73300,8680,74292
"156","05087","Madison County, Arkansas",51514,973,16601,2731,16737
"157","05089","Marion County, Arkansas",42891,1161,16716,2970,16905
"158","05091","Miller County, Arkansas",47613,2614,41385,8496,42682
"159","05093","Mississippi County, Arkansas",50012,2413,39322,8599,40361
"160","05095","Monroe County, Arkansas",41786,468,6685,1592,6787
"161","05097","Montgomery County, Arkansas",47103,760,8412,1527,8555
"162","05099","Nevada County, Arkansas",43421,476,8079,2248,8292
"163","05101","Newton County, Arkansas",50699,494,7169,814,7243
"164","05103","Ouachita County, Arkansas",47348,1573,22180,4230,22606
"165","05105","Perry County, Arkansas",53980,782,9945,1526,10055
"166","05107","Phillips County, Arkansas",37458,1021,16242,4946,16373
"167","05109","Pike County, Arkansas",49248,866,9984,1745,10205
"168","05111","Poinsett County, Arkansas",43440,1297,22509,4716,22997
"169","05113","Polk County, Arkansas",48449,1513,19080,3393,19384
"170","05115","Pope County, Arkansas",51678,6437,60085,10728,63475
"171","05117","Prairie County, Arkansas",47045,596,7987,797,8217
"172","05119","Pulaski County, Arkansas",58326,59004,391159,64768,398322
"173","05121","Randolph County, Arkansas",45993,1248,18306,3519,18619
"174","05123","St. Francis County, Arkansas",39822,1213,20136,5659,23138
"175","05125","Saline County, Arkansas",73236,16876,122392,11688,123988
"176","05127","Scott County, Arkansas",45340,638,9792,1677,9871
"177","05129","Searcy County, Arkansas",42063,637,7731,2054,7880
"178","05131","Sebastian County, Arkansas",54047,12935,126132,20818,128184
"179","05133","Sevier County, Arkansas",53567,764,15648,3144,15913
"180","05135","Sharp County, Arkansas",43332,946,17121,2725,17422
"181","05137","Stone County, Arkansas",37664,847,12286,2603,12393
"182","05139","Union County, Arkansas",49745,3250,38320,7135,38815
"183","05141","Van Buren County, Arkansas",45768,1229,15707,2971,15900
"184","05143","Washington County, Arkansas",61985,30466,238639,36258,247331
"185","05145","White County, Arkansas",51144,6067,73769,11867,77118
"186","05147","Woodruff County, Arkansas",49608,375,6030,1146,6259
"187","05149","Yell County, Arkansas",55879,1306,19923,2480,20342
"188","06001","Alameda County, California",122488,343246,1637215,149843,1663823
"189","06003","Alpine County, California",101125,248,1515,208,1515
"190","06005","Amador County, California",74853,4598,37571,2945,40577
"191","06007","Butte County, California",66085,28092,208718,38015,213605
"192","06009","Calaveras County, California",77526,5150,45223,5915,45674
"193","06011","Colusa County, California",69619,1530,21600,2364,21811
"194","06013","Contra Costa County, California",120020,219701,1153216,95255,1162648
"195","06015","Del Norte County, California",61149,2193,25096,3585,27462
"196","06017","El Dorado County, California",99246,35536,190326,16364,191713
"197","06019","Fresno County, California",67756,96794,990821,193675,1008280
"198","06021","Glenn County, California",64033,2120,28422,4335,28657
"199","06023","Humboldt County, California",57881,19011,133139,26394,136132
"200","06025","Imperial County, California",53847,13008,171450,36092,179578
"201","06027","Inyo County, California",63417,2406,18434,2199,18829
"202","06029","Kern County, California",63883,66940,881217,170013,906883
"203","06031","Kings County, California",68540,9541,139603,22634,152515
"204","06033","Lake County, California",56259,5943,66691,11065,68024
"205","06035","Lassen County, California",59515,2138,23931,3645,31873
"206","06037","Los Angeles County, California",83411,1542422,9782602,1343978,9936690
"207","06039","Madera County, California",73543,11497,150314,30154,157243
"208","06041","Marin County, California",142019,65256,255793,17809,260485
"209","06043","Mariposa County, California",60021,2607,16960,2712,17130
"210","06045","Mendocino County, California",61335,9382,89649,14483,91145
"211","06047","Merced County, California",64772,17165,276803,51272,282290
"212","06049","Modoc County, California",54962,1062,8464,1430,8651
"213","06051","Mono County, California",82038,1897,13095,1478,13219
"214","06053","Monterey County, California",91043,45473,421244,51913,437609
"215","06055","Napa County, California",105809,24039,134649,10620,137384
"216","06057","Nevada County, California",79395,19803,101291,10505,102322
"217","06059","Orange County, California",109361,591937,3137483,303810,3175227
"218","06061","Placer County, California",109375,79373,403083,27446,406608
"219","06063","Plumas County, California",67885,2227,19331,2101,19650
"220","06065","Riverside County, California",84505,244893,2392682,272432,2429487
"221","06067","Sacramento County, California",84010,227553,1560173,204388,1579211
"222","06069","San Benito County, California",104451,6667,64339,4832,64753
"223","06071","San Bernardino County, California",77423,201183,2135785,294246,2180563
"224","06073","San Diego County, California",96974,564011,3204475,338752,3289701
"225","06075","San Francisco County, California",136689,238669,837888,87849,851036
"226","06077","San Joaquin County, California",82837,68376,763754,98352,779445
"227","06079","San Luis Obispo County, California",90158,45318,268028,33728,281712
"228","06081","San Mateo County, California",149907,161021,748410,48137,754250
"229","06083","Santa Barbara County, California",92332,59212,425067,57513,445213
"230","06085","Santa Clara County, California",153792,377331,1886562,129834,1916831
"231","06087","Santa Cruz County, California",104409,44286,257415,29302,268571
"232","06089","Shasta County, California",68347,19783,178820,23753,181852
"233","06091","Sierra County, California",61108,265,2854,359,2916
"234","06093","Siskiyou County, California",53898,4772,43698,7289,44049
"235","06095","Solano County, California",97037,60316,441378,39705,450995
"236","06097","Sonoma County, California",99266,82815,481716,42925,488436
"237","06099","Stanislaus County, California",74872,44136,547303,75125,552063
"238","06101","Sutter County, California",72654,9068,98113,13065,99101
"239","06103","Tehama County, California",59029,5951,64796,10483,65484
"240","06105","Trinity County, California",47317,1463,15717,3457,15889
"241","06107","Tulare County, California",64474,28337,467719,86391,473446
"242","06109","Tuolumne County, California",70432,6941,51779,5887,54993
"243","06111","Ventura County, California",102141,125787,830237,74315,842009
"244","06113","Yolo County, California",85097,28888,209629,36521,217141
"245","06115","Yuba County, California",66693,5915,80299,12375,81705
"246","08001","Adams County, Colorado",86297,62602,515939,49625,520149
"247","08003","Alamosa County, Colorado",52271,1551,15566,2418,16460
"248","08005","Arapahoe County, Colorado",92292,125322,648402,51766,654453
"249","08007","Archuleta County, Colorado",66813,2539,13391,1092,13509
"250","08009","Baca County, Colorado",42115,444,3391,781,3496
"251","08011","Bent County, Colorado",45776,410,4234,1146,5561
"252","08013","Boulder County, Colorado",99770,75431,316192,35674,328658
"253","08014","Broomfield County, Colorado",117541,18430,73463,3679,73946
"254","08015","Chaffee County, Colorado",65703,3738,18145,2137,19564
"255","08017","Cheyenne County, Colorado",65577,196,1683,183,1726
"256","08019","Clear Creek County, Colorado",87169,2202,9315,617,9403
"257","08021","Conejos County, Colorado",44093,818,7505,1177,7553
"258","08023","Costilla County, Colorado",34578,441,3515,792,3534
"259","08025","Crowley County, Colorado",40685,387,4449,1076,5782
"260","08027","Custer County, Colorado",66250,853,4876,376,4885
"261","08029","Delta County, Colorado",56349,3710,30104,4525,31173
"262","08031","Denver County, Colorado",85853,172213,698563,81703,710800
"263","08033","Dolores County, Colorado",64708,300,2329,389,2329
"264","08035","Douglas County, Colorado",139010,94158,358730,10799,360206
"265","08037","Eagle County, Colorado",98887,14027,55385,4457,55650
"266","08039","Elbert County, Colorado",124360,4850,26406,1124,26457
"267","08041","El Paso County, Colorado",82748,117443,709408,65325,730323
"268","08043","Fremont County, Colorado",56165,5340,40536,6081,49107
"269","08045","Garfield County, Colorado",82772,8965,60787,4917,61683
"270","08047","Gilpin County, Colorado",95902,973,5780,538,5856
"271","08049","Grand County, Colorado",79367,2648,15679,1345,15724
"272","08051","Gunnison County, Colorado",76538,4652,16153,1746,17018
"273","08053","Hinsdale County, Colorado",58712,197,911,67,911
"274","08055","Huerfano County, Colorado",49631,847,6749,1390,6896
"275","08057","Jackson County, Colorado",38686,174,1434,299,1440
"276","08059","Jefferson County, Colorado",103167,132350,572241,38194,580519
"277","08061","Kiowa County, Colorado",45250,117,1317,210,1347
"278","08063","Kit Carson County, Colorado",58992,578,6948,652,7039
"279","08065","Lake County, Colorado",78942,1245,7262,527,7403
"280","08067","La Plata County, Colorado",81936,12325,54155,6185,55983
"281","08069","Larimer County, Colorado",87199,73222,349861,40057,359363
"282","08071","Las Animas County, Colorado",48965,1069,13791,2627,14422
"283","08073","Lincoln County, Colorado",59167,766,4184,485,5583
"284","08075","Logan County, Colorado",54864,1791,19950,2332,21302
"285","08077","Mesa County, Colorado",68077,22061,152255,17446,156131
"286","08079","Mineral County, Colorado",58929,278,794,89,794
"287","08081","Moffat County, Colorado",63983,1333,13119,1947,13232
"288","08083","Montezuma County, Colorado",61377,3328,25754,3231,26070
"289","08085","Montrose County, Colorado",62817,5769,42360,4904,42823
"290","08087","Morgan County, Colorado",70471,2194,28545,3662,29045
"291","08089","Otero County, Colorado",47500,1399,18130,4350,18580
"292","08091","Ouray County, Colorado",78750,1275,4931,239,4936
"293","08093","Park County, Colorado",85019,3305,17422,1185,17597
"294","08095","Phillips County, Colorado",58474,572,4410,612,4493
"295","08097","Pitkin County, Colorado",96123,5045,17260,1150,17325
"296","08099","Prowers County, Colorado",49422,777,11587,2037,11968
"297","08101","Pueblo County, Colorado",59436,18044,163989,27274,168135
"298","08103","Rio Blanco County, Colorado",69882,711,6175,799,6511
"299","08105","Rio Grande County, Colorado",57591,1693,11221,1151,11442
"300","08107","Routt County, Colorado",95144,5931,24639,1965,24944
"301","08109","Saguache County, Colorado",51946,627,6419,1123,6454
"302","08111","San Juan County, Colorado",67344,134,690,132,690
"303","08113","San Miguel County, Colorado",72829,2874,8044,682,8082
"304","08115","Sedgwick County, Colorado",45855,309,2359,379,2391
"305","08117","Summit County, Colorado",100611,7876,30774,2275,30955
"306","08119","Teller County, Colorado",69655,4448,24621,1727,24758
"307","08121","Washington County, Colorado",59087,561,4600,446,4817
"308","08123","Weld County, Colorado",89182,42730,324810,31432,331466
"309","08125","Yuma County, Colorado",60118,1020,9652,1355,9938
"310","09110","Capitol Planning Region, Connecticut",88190,154850,942162,101370,977165
"311","09120","Greater Bridgeport Planning Region, Connecticut",83147,52095,316788,42156,326381
"312","09130","Lower Connecticut River Valley Planning Region, Connecticut",99742,32151,168957,10964,175244
"313","09140","Naugatuck Valley Planning Region, Connecticut",82939,60414,445259,45555,451887
"314","09150","Northeastern Connecticut Planning Region, Connecticut",83119,9844,94421,8356,95687
"315","09160","Northwest Hills Planning Region, Connecticut",87971,18125,110869,10462,112696
"316","09170","South Central Connecticut Planning Region, Connecticut",83617,81523,548511,64563,571298
"317","09180","Southeastern Connecticut Planning Region, Connecticut",80330,38034,267571,26614,280293
"318","09190","Western Connecticut Planning Region, Connecticut",118930,126881,613025,45652,620666
"319","10001","Kent County, Delaware",69278,19471,177226,21850,182400
"320","10003","New Castle County, Delaware",85309,86580,554534,58355,570567
"321","10005","Sussex County, Delaware",75406,33162,237315,27585,240668
"322","11001","District of Columbia, District of Columbia",101722,124860,649184,98039,670587
"323","12001","Alachua County, Florida",57566,40168,262950,53070,279729
"324","12003","Baker County, Florida",67872,1603,24834,3398,27969
"325","12005","Bay County, Florida",65999,22211,178348,21755,181055
"326","12007","Bradford County, Florida",54759,1602,23937,4352,27816
"327","12009","Brevard County, Florida",71308,91368,602971,60927,610723
"328","12011","Broward County, Florida",70331,299209,1922902,238880,1940907
"329","12013","Calhoun County, Florida",41526,769,11928,2374,13753
"330","12015","Charlotte County, Florida",62164,24826,185835,19490,189900
"331","12017","Citrus County, Florida",52569,15052,152199,22833,155173
"332","12019","Clay County, Florida",82242,28107,217314,20352,219650
"333","12021","Collier County, Florida",82011,66537,376549,39131,380221
"334","12023","Columbia County, Florida",53501,5293,65004,10196,69832
"335","12027","DeSoto County, Florida",45000,1960,32594,8601,34258
"336","12029","Dixie County, Florida",45057,661,15144,2445,16737
"337","12031","Duval County, Florida",65579,146544,971889,139341,995708
"338","12033","Escambia County, Florida",61642,38493,302159,44874,321296
"339","12035","Flagler County, Florida",69251,16803,116442,11382,117515
"340","12037","Franklin County, Florida",58107,1120,10730,2325,12276
"341","12039","Gadsden County, Florida",45721,3856,40943,10460,43746
"342","12041","Gilchrist County, Florida",56823,1284,17009,2115,18070
"343","12043","Glades County, Florida",37221,912,10894,2382,12179
"344","12045","Gulf County, Florida",56250,1515,12349,1522,15002
"345","12047","Hamilton County, Florida",47668,667,10680,2822,13492
"346","12049","Hardee County, Florida",44665,1169,23639,6731,25528
"347","12051","Hendry County, Florida",49259,1947,39155,8729,39902
"348","12053","Hernando County, Florida",59202,19903,193551,24134,196621
"349","12055","Highlands County, Florida",53679,9422,100690,15742,102339
"350","12057","Hillsborough County, Florida",70612,231039,1443248,197369,1468560
"351","12059","Holmes County, Florida",46063,1089,17750,2949,19529
"352","12061","Indian River County, Florida",67543,25090,159436,18221,160986
"353","12063","Jackson County, Florida",46144,2905,40504,7787,47704
"354","12065","Jefferson County, Florida",51573,1428,13168,2414,14458
"355","12067","Lafayette County, Florida",57852,332,6753,1306,8107
"356","12069","Lake County, Florida",66239,46866,381943,36977,386829
"357","12071","Lee County, Florida",69368,108170,761814,89142,772902
"358","12073","Leon County, Florida",61317,46636,277399,53940,294128
"359","12075","Levy County, Florida",49933,3561,42901,6718,43268
"360","12077","Liberty County, Florida",51723,518,6314,1375,7704
"361","12079","Madison County, Florida",43386,1204,16087,3611,17986
"362","12081","Manatee County, Florida",71385,61199,399862,40670,405069
"363","12083","Marion County, Florida",55265,39294,368450,52923,378225
"364","12085","Martin County, Florida",77894,27796,155844,16391,159399
"365","12086","Miami-Dade County, Florida",64215,388029,2647752,403997,2688237
"366","12087","Monroe County, Florida",80111,14115,80988,9480,82044
"367","12089","Nassau County, Florida",84085,13840,90614,8343,91538
"368","12091","Okaloosa County, Florida",73988,30071,206301,20998,212021
"369","12093","Okeechobee County, Florida",50476,3190,37024,7113,39870
"370","12095","Orange County, Florida",72629,231437,1387668,187454,1427403
"371","12097","Osceola County, Florida",64312,47040,390525,52441,393745
"372","12099","Palm Beach County, Florida",76066,258721,1469938,166938,1494805
"373","12101","Pasco County, Florida",63187,72486,560241,66197,569211
"374","12103","Pinellas County, Florida",66406,167442,940492,107865,959918
"375","12105","Polk County, Florida",60901,73601,720030,106728,736229
"376","12107","Putnam County, Florida",44852,4890,72237,16506,73604
"377","12109","St. Johns County, Florida",100020,58157,275491,18720,278722
"378","12111","St. Lucie County, Florida",66154,40046,331223,41337,334682
"379","12113","Santa Rosa County, Florida",84715,25825,183367,16407,188994
"380","12115","Sarasota County, Florida",77213,77261,431335,35122,439392
"381","12117","Seminole County, Florida",79490,90716,466454,44796,471321
"382","12119","Sumter County, Florida",70105,23971,123545,11443,131832
"383","12121","Suwannee County, Florida",49729,2831,41625,5999,43881
"384","12123","Taylor County, Florida",46239,1541,18364,2777,21421
"385","12125","Union County, Florida",64043,679,10415,1656,15524
"386","12127","Volusia County, Florida",63075,71226,544169,66328,558520
"387","12129","Wakulla County, Florida",72035,2917,30707,1888,33732
"388","12131","Walton County, Florida",74832,12778,74880,7898,76618
"389","12133","Washington County, Florida",47536,1302,22203,5046,25014
"390","13001","Appling County, Georgia",43268,676,18087,4577,18441
"391","13003","Atkinson County, Georgia",38007,306,8236,2266,8265
"392","13005","Bacon County, Georgia",43938,373,10528,2278,11138
"393","13007","Baker County, Georgia",45417,227,2878,666,2878
"394","13009","Baldwin County, Georgia",54699,3770,39122,8864,43778
"395","13011","Banks County, Georgia",69096,1372,18297,2411,18381
"396","13013","Barrow County, Georgia",75053,7743,83850,8009,84399
"397","13015","Bartow County, Georgia",74812,10517,108124,11700,109410
"398","13017","Ben Hill County, Georgia",38255,1003,16768,4442,17169
"399","13019","Berrien County, Georgia",48670,1211,17956,4167,18187
"400","13021","Bibb County, Georgia",48897,13738,150191,37641,156554
"401","13023","Bleckley County, Georgia",56021,897,11172,1906,12413
"402","13025","Brantley County, Georgia",40166,589,17982,2933,18105
"403","13027","Brooks County, Georgia",42263,1114,16120,4277,16275
"404","13029","Bryan County, Georgia",90627,5989,44700,3200,44995
"405","13031","Bulloch County, Georgia",53675,8064,72752,16576,79829
"406","13033","Burke County, Georgia",50321,1667,23944,4150,24337
"407","13035","Butts County, Georgia",60076,1494,22907,3612,25522
"408","13037","Calhoun County, Georgia",48663,295,3900,1007,5594
"409","13039","Camden County, Georgia",68104,4874,52754,8638,55105
"410","13043","Candler County, Georgia",45519,590,10648,1947,10946
"411","13045","Carroll County, Georgia",66895,10252,116368,19641,120060
"412","13047","Catoosa County, Georgia",68896,6953,67306,6012,68052
"413","13049","Charlton County, Georgia",45770,870,11623,2381,12547
"414","13051","Chatham County, Georgia",66171,43032,285213,39871,296266
"415","13053","Chattahoochee County, Georgia",52943,866,5386,908,9402
"416","13055","Chattooga County, Georgia",43556,950,23046,4593,24902
"417","13057","Cherokee County, Georgia",100824,50928,266344,17662,268567
"418","13059","Clarke County, Georgia",48692,17848,118537,31528,128864
"419","13061","Clay County, Georgia",43264,190,2798,720,2855
"420","13063","Clayton County, Georgia",56207,25582,291605,49313,296312
"421","13065","Clinch County, Georgia",53350,412,6621,2149,6713
"422","13067","Cobb County, Georgia",94244,163719,754716,62536,765813
"423","13069","Coffee County, Georgia",48398,2268,40233,8063,43056
"424","13071","Colquitt County, Georgia",47235,2315,45246,11024,45813
"425","13073","Columbia County, Georgia",92571,22587,156181,11234,156921
"426","13075","Cook County, Georgia",46706,1087,16957,3694,17242
"427","13077","Coweta County, Georgia",90031,21935,146607,12209,147449
"428","13079","Crawford County, Georgia",56948,503,11960,1987,12156
"429","13081","Crisp County, Georgia",47463,1157,19734,4648,20255
"430","13083","Dade County, Georgia",59531,1474,15071,985,16239
"431","13085","Dawson County, Georgia",84516,4797,27200,2623,27355
"432","13087","Decatur County, Georgia",47383,1893,27955,6805,29063
"433","13089","DeKalb County, Georgia",76044,137065,748744,100326,761209
"434","13091","Dodge County, Georgia",46091,1400,18310,4090,19977
"435","13093","Dooly County, Georgia",54109,763,9265,1942,11236
"436","13095","Dougherty County, Georgia",45640,7102,81493,21493,85038
