student_id,writing_ability,group_assignment,year
319,78.2,AI No Training,4
320,73.7,No AI,1
321,76,AI No Training,2
322,81,AI No Training,3
323,66.8,AI No Training,3
324,95.9,AI Training,1
325,64.9,No AI,2
326,62.9,No AI,3
327,86.6,AI Training,1
328,82.9,AI No Training,4
329,81.2,AI Training,3
330,81.3,AI No Training,3
331,74.9,No AI,2
332,66,AI Training,1
333,75.8,AI Training,4
334,68.2,AI Training,4
335,84.8,No AI,3
336,73.5,AI No Training,2
337,66.7,AI No Training,2
338,71.8,No AI,4
339,79.1,AI Training,1
340,69.4,No AI,2
341,66.8,AI Training,4
342,77.4,AI No Training,1
343,77.4,No AI,4
344,69.9,AI No Training,3
345,70.3,AI Training,4
346,77.3,AI Training,4
347,60.5,AI Training,1
348,60.9,AI No Training,4
349,67.8,AI Training,4
350,72.9,AI Training,4
351,78.1,No AI,2
352,89.8,AI No Training,4
353,83.6,No AI,3
354,73.4,AI Training,4
355,74.8,AI Training,3
356,65,No AI,4
357,74.8,AI Training,2
358,72.1,AI Training,2
359,78.2,No AI,1
360,66.7,AI No Training,3
361,80.2,AI Training,2
362,90.3,No AI,3
363,73.9,AI Training,3
364,79,No AI,2
365,81.9,AI Training,4
366,71,AI Training,1
367,77.2,AI Training,4
368,75.1,AI No Training,3
369,76,AI Training,1
370,67.3,AI Training,4
371,75.2,No AI,2
372,80,AI Training,1
373,89.5,No AI,4
374,84.6,AI No Training,2
375,96.5,No AI,4
376,67.3,No AI,4
377,83.7,No AI,4
378,76.8,AI Training,4
379,96.9,AI No Training,2
380,66.9,AI Training,4
381,66.6,No AI,4
382,69,No AI,4
383,53.8,AI No Training,1
384,69.7,AI Training,1
385,67.4,No AI,2
386,76.5,AI No Training,4
387,78.4,AI Training,4
388,93.8,AI No Training,2
389,84.5,No AI,4
390,69.2,No AI,1
391,66,AI Training,1
392,79.9,No AI,4
393,61.8,AI Training,4
394,93.3,AI No Training,1
395,86.8,AI Training,3
396,70.3,AI Training,4
397,57.9,AI Training,4
398,88.5,AI No Training,2
399,73.9,AI Training,4
400,87.4,AI No Training,3
401,59.1,AI No Training,3
402,69,AI No Training,3
403,75.1,AI Training,3
404,75.5,AI Training,2
405,70.5,AI Training,4
406,81.2,AI No Training,4
407,64.3,AI No Training,2
408,73.6,AI Training,4
409,76.2,No AI,4
410,80.1,No AI,1
411,82.1,AI No Training,2
412,63.8,No AI,1
413,59.7,No AI,1
414,87.8,No AI,4
415,78.3,No AI,3
416,67.5,No AI,4
417,90.5,AI Training,3
418,76.2,AI No Training,4
419,86.8,AI No Training,3
420,75.7,AI Training,1
421,95.6,No AI,3
422,92.6,AI Training,4
423,72.5,AI Training,1
424,84.7,No AI,1
425,81.5,AI No Training,1
426,88.7,AI Training,4
427,65.4,AI Training,2
428,81.9,AI No Training,2
429,85.6,AI No Training,4
430,57.4,No AI,2
431,63.2,AI Training,4
432,54.6,No AI,2
433,72.3,AI Training,2
434,82.2,AI No Training,4
435,90,AI No Training,2
436,75.7,AI No Training,4
437,91.3,No AI,3
438,61.2,No AI,1
439,58,No AI,4
440,74.4,No AI,1
441,78.8,AI Training,2
442,74.7,AI No Training,3
443,54.3,No AI,3
444,74.1,AI Training,4
445,62,AI Training,4
446,81.7,AI Training,3
447,78.7,AI Training,4
448,65.6,No AI,1
449,69.9,AI No Training,1
450,64.4,AI Training,3
451,74.4,AI Training,2
452,84.6,No AI,1
453,65.1,AI Training,2
454,80,No AI,2
455,69.7,No AI,1
456,67.1,AI No Training,3
457,73.9,AI No Training,4
458,64.6,AI No Training,2
459,69.5,No AI,1
460,63,AI Training,4
461,94.6,No AI,2
462,75.4,No AI,3
463,68,AI Training,2
464,77.1,AI Training,4
465,73.9,AI Training,2
466,72.8,AI Training,3
467,81.1,AI No Training,3
468,82.6,AI No Training,3
469,69.7,No AI,3
470,69.2,AI No Training,3
471,72.2,AI No Training,1
472,52,No AI,4
473,59.8,AI Training,2
474,88.7,AI No Training,1
475,91.4,No AI,1
476,72.5,No AI,3
477,80.8,AI Training,3
478,78.1,No AI,4
479,100,AI Training,3
480,86.2,AI No Training,4
481,73.7,AI No Training,1
482,65.4,AI No Training,4
483,58.9,AI Training,2
484,77,AI No Training,1
485,67.4,AI Training,2
486,60.8,AI No Training,2
487,68.5,No AI,2
488,64.2,AI Training,1
489,91.9,AI Training,3
490,83.8,AI No Training,3
491,74.9,AI Training,1
492,89.8,AI Training,3
493,75.8,AI Training,2
494,66.4,AI Training,1
495,90.2,AI Training,1
496,80.4,AI Training,3
497,64.6,AI No Training,3
498,73.1,AI Training,2
499,66.2,No AI,2
500,61.2,AI Training,2
