studentid,assignment_type,assignment_number,pre_ai_grade,post_ai_grade
41,Blue Book Essay,1,87.2,86.6
42,Computer Essay,1,78.6,92.3
42,Blue Book Essay,1,61.5,55.3
43,Computer Essay,1,70,71.6
43,Blue Book Essay,1,67.2,69.7
44,Computer Essay,1,67.7,68
44,Blue Book Essay,1,72.7,74.7
45,Computer Essay,1,58.6,71.6
45,Blue Book Essay,1,52.8,50.3
46,Computer Essay,1,58,63
46,Blue Book Essay,1,64.7,67.7
47,Computer Essay,1,66.7,66.2
47,Blue Book Essay,1,67.6,74.4
48,Computer Essay,1,85.5,94.6
48,Blue Book Essay,1,86.7,91.7
49,Computer Essay,1,75.1,75.4
49,Blue Book Essay,1,76.5,76.8
50,Computer Essay,1,59,66.9
50,Blue Book Essay,1,56.6,60.3
51,Computer Essay,1,76.6,79.9
51,Blue Book Essay,1,67.2,68.8
52,Computer Essay,1,74.1,87.5
52,Blue Book Essay,1,55.7,59.1
53,Computer Essay,1,71.8,79.2
53,Blue Book Essay,1,62,61.8
54,Computer Essay,1,76,83
54,Blue Book Essay,1,89.7,89.3
55,Computer Essay,1,87.7,96.4
55,Blue Book Essay,1,86.8,86.9
56,Computer Essay,1,94.3,103.3
56,Blue Book Essay,1,83,85.2
57,Computer Essay,1,70.1,81.3
57,Blue Book Essay,1,71.5,67.1
58,Computer Essay,1,78.1,84.3
58,Blue Book Essay,1,65.2,66.2
59,Computer Essay,1,76,82.3
59,Blue Book Essay,1,79,84.6
60,Computer Essay,1,90.8,94.8
60,Blue Book Essay,1,86,93.9
61,Computer Essay,1,74.2,76.4
61,Blue Book Essay,1,63.1,65.7
62,Computer Essay,1,69.7,74.1
62,Blue Book Essay,1,79,83.5
63,Computer Essay,1,61.1,61.7
63,Blue Book Essay,1,63,61.3
64,Computer Essay,1,69,66.5
64,Blue Book Essay,1,57.8,51.8
65,Computer Essay,1,77.9,83.4
65,Blue Book Essay,1,75.5,79
66,Computer Essay,1,83.1,92
66,Blue Book Essay,1,98.8,101.5
67,Computer Essay,1,59.8,60.8
67,Blue Book Essay,1,84.7,78.8
68,Computer Essay,1,88.1,98.7
68,Blue Book Essay,1,96.2,102.5
69,Computer Essay,1,79.6,82.4
69,Blue Book Essay,1,81.9,83.2
70,Computer Essay,1,67.1,69.1
70,Blue Book Essay,1,67.2,70.1
71,Computer Essay,1,68.1,65.7
71,Blue Book Essay,1,77.1,74.3
72,Computer Essay,1,89.3,92.5
72,Blue Book Essay,1,96.3,92.1
73,Computer Essay,1,67.7,65.2
73,Blue Book Essay,1,78.3,78.2
74,Computer Essay,1,91.4,96.8
74,Blue Book Essay,1,84.8,83.5
75,Computer Essay,1,50,50
75,Blue Book Essay,1,50.6,50.9
76,Computer Essay,1,81.1,90.2
76,Blue Book Essay,1,85,88.1
77,Computer Essay,1,74.5,83.1
77,Blue Book Essay,1,72.7,73.4
78,Computer Essay,1,70.3,72.4
78,Blue Book Essay,1,71.2,72.6
79,Computer Essay,1,66.9,68.7
79,Blue Book Essay,1,83.7,80.6
80,Computer Essay,1,50,53.8
80,Blue Book Essay,1,58.6,67.6
81,Computer Essay,1,67.4,71.3
81,Blue Book Essay,1,73.2,78.6
82,Computer Essay,1,70.6,81.8
82,Blue Book Essay,1,79.1,79.4
83,Computer Essay,1,86.9,95.1
83,Blue Book Essay,1,88.1,86.7
84,Computer Essay,1,72.6,71.5
84,Blue Book Essay,1,79.9,76.3
85,Computer Essay,1,64.5,66.3
85,Blue Book Essay,1,78.8,89.4
86,Computer Essay,1,76.4,87.2
86,Blue Book Essay,1,66.2,70.1
87,Computer Essay,1,80.3,79
87,Blue Book Essay,1,82.1,79.6
88,Computer Essay,1,73,78.2
88,Blue Book Essay,1,71.2,72.1
89,Computer Essay,1,68.9,78.5
89,Blue Book Essay,1,60.9,62.4
90,Computer Essay,1,68.2,82.3
90,Blue Book Essay,1,81,76.4
91,Computer Essay,1,82.3,84.5
91,Blue Book Essay,1,77.1,80.8
92,Computer Essay,1,85.5,96.2
92,Blue Book Essay,1,84.1,80.3
93,Computer Essay,1,66.8,67
93,Blue Book Essay,1,59.9,57.7
94,Computer Essay,1,66,75.4
94,Blue Book Essay,1,76.9,83.3
95,Computer Essay,1,63.6,77.7
95,Blue Book Essay,1,68.5,67.9
96,Computer Essay,1,70,78.9
96,Blue Book Essay,1,61.3,59.4
97,Computer Essay,1,76.6,79.3
97,Blue Book Essay,1,76.2,79.6
98,Computer Essay,1,71.7,69.3
98,Blue Book Essay,1,70,76
99,Computer Essay,1,67.5,77.5
99,Blue Book Essay,1,63.3,69.8
100,Computer Essay,1,70.6,79
100,Blue Book Essay,1,75.8,74.5
101,Computer Essay,1,63.4,69.5
101,Blue Book Essay,1,58.4,63.7
102,Computer Essay,1,65.5,69.8
102,Blue Book Essay,1,74.8,75.7
103,Computer Essay,1,72.3,72.8
103,Blue Book Essay,1,66.1,66.6
104,Computer Essay,1,70.4,70.8
104,Blue Book Essay,1,68.4,71.3
105,Computer Essay,1,78.3,78.9
105,Blue Book Essay,1,75.2,71.7
106,Computer Essay,1,71.7,74.3
106,Blue Book Essay,1,76.5,79.8
107,Computer Essay,1,92.1,92.4
107,Blue Book Essay,1,95.5,97.5
108,Computer Essay,1,75.1,78.4
108,Blue Book Essay,1,65.9,64.4
109,Computer Essay,1,69.5,80.7
109,Blue Book Essay,1,79.6,88.5
110,Computer Essay,1,71.2,76.8
110,Blue Book Essay,1,80.7,83.4
111,Computer Essay,1,50.7,56.8
111,Blue Book Essay,1,53.3,52.8
112,Computer Essay,1,73.5,80.3
112,Blue Book Essay,1,73.8,82.5
113,Computer Essay,1,78.4,71.2
113,Blue Book Essay,1,67.2,70.5
114,Computer Essay,1,90.8,91.1
114,Blue Book Essay,1,97.5,94.3
115,Computer Essay,1,73.8,72.6
115,Blue Book Essay,1,75.9,68.6
116,Computer Essay,1,73.3,73.9
116,Blue Book Essay,1,79,78.5
117,Computer Essay,1,72.6,78.1
117,Blue Book Essay,1,76.5,76.7
118,Computer Essay,1,67.3,67.7
118,Blue Book Essay,1,61.5,59.2
119,Computer Essay,1,82.2,82.2
119,Blue Book Essay,1,81,86.6
120,Computer Essay,1,73.7,84.5
120,Blue Book Essay,1,73.5,76.6
121,Computer Essay,1,77.6,80.1
121,Blue Book Essay,1,87.1,98.4
122,Computer Essay,1,67.3,86.1
122,Blue Book Essay,1,62.5,59.6
123,Computer Essay,1,90.7,100.9
123,Blue Book Essay,1,89.5,99.8
124,Computer Essay,1,59.1,69.4
124,Blue Book Essay,1,56.2,53.2
125,Computer Essay,1,88.9,88.3
125,Blue Book Essay,1,80.6,81.6
126,Computer Essay,1,88.2,102.2
126,Blue Book Essay,1,91,88.1
127,Computer Essay,1,57.9,61.9
127,Blue Book Essay,1,66.8,69.4
128,Computer Essay,1,72.3,71.6
128,Blue Book Essay,1,64.6,74.6
129,Computer Essay,1,72.4,87
129,Blue Book Essay,1,73.7,74.4
130,Computer Essay,1,70.2,75
130,Blue Book Essay,1,79.8,81.6
131,Computer Essay,1,57.8,73.4
131,Blue Book Essay,1,59.8,60.4
132,Computer Essay,1,76.4,79.9
132,Blue Book Essay,1,80,80.7
133,Computer Essay,1,57.2,63.8
133,Blue Book Essay,1,53.5,50.7
134,Computer Essay,1,76.6,86.2
134,Blue Book Essay,1,77.4,78.8
135,Computer Essay,1,68.1,75.3
135,Blue Book Essay,1,61.9,61.7
136,Computer Essay,1,87.3,97.7
136,Blue Book Essay,1,97.5,98.7
137,Computer Essay,1,68.5,69.5
137,Blue Book Essay,1,72,68.6
138,Computer Essay,1,71.8,74.7
138,Blue Book Essay,1,67.5,73.9
139,Computer Essay,1,87.3,93.6
139,Blue Book Essay,1,82.2,93.1
140,Computer Essay,1,61.9,72.7
140,Blue Book Essay,1,74.7,68.4
141,Computer Essay,1,79,89.2
141,Blue Book Essay,1,78.2,84.9
142,Computer Essay,1,85.4,89.5
142,Blue Book Essay,1,80.9,81.5
143,Computer Essay,1,54,65.7
143,Blue Book Essay,1,60.9,66.4
144,Computer Essay,1,68.9,73
144,Blue Book Essay,1,78.1,76.7
145,Computer Essay,1,74.9,79
145,Blue Book Essay,1,76.7,77.6
146,Computer Essay,1,80.2,83.8
146,Blue Book Essay,1,83.9,81.6
147,Computer Essay,1,64.2,80.9
147,Blue Book Essay,1,59.8,57.6
148,Computer Essay,1,60.9,60.2
148,Blue Book Essay,1,65.5,62.4
149,Computer Essay,1,70.6,73.4
149,Blue Book Essay,1,85.5,99.8
150,Computer Essay,1,73.1,84.3
150,Blue Book Essay,1,77.9,89.9
151,Computer Essay,1,85.8,98.9
151,Blue Book Essay,1,82.5,83.3
152,Computer Essay,1,80.4,78.4
152,Blue Book Essay,1,74.7,75.2
153,Computer Essay,1,65.3,73.1
153,Blue Book Essay,1,64.9,72.8
154,Computer Essay,1,75.8,76.2
154,Blue Book Essay,1,83.7,86.9
155,Computer Essay,1,72.3,72.6
155,Blue Book Essay,1,67.6,67.7
156,Computer Essay,1,73.4,74.3
156,Blue Book Essay,1,70,81.4
157,Computer Essay,1,97.8,101.9
157,Blue Book Essay,1,95.6,95.7
158,Computer Essay,1,75.9,93.3
158,Blue Book Essay,1,84.2,87.8
159,Computer Essay,1,58.6,67.3
159,Blue Book Essay,1,56.5,50.2
160,Computer Essay,1,81.2,86.9
160,Blue Book Essay,1,79.8,74
161,Computer Essay,1,65.8,62.8
161,Blue Book Essay,1,61.6,53.5
162,Computer Essay,1,80.7,97
162,Blue Book Essay,1,90.7,88.4
163,Computer Essay,1,81.6,82.6
163,Blue Book Essay,1,87.9,93.1
164,Computer Essay,1,68.6,68.8
164,Blue Book Essay,1,71.9,71.8
165,Computer Essay,1,78.2,85.1
165,Blue Book Essay,1,79.5,79.6
166,Computer Essay,1,81.7,97.2
166,Blue Book Essay,1,74.1,72.3
167,Computer Essay,1,81.1,77
167,Blue Book Essay,1,78.5,80.1
168,Computer Essay,1,95.7,100.9
168,Blue Book Essay,1,91.6,97.6
169,Computer Essay,1,62.7,74.7
169,Blue Book Essay,1,68.9,64.1
170,Computer Essay,1,66.9,77.3
170,Blue Book Essay,1,59.7,58.6
171,Computer Essay,1,56,58.1
171,Blue Book Essay,1,70.9,71.7
172,Computer Essay,1,65.8,68.8
172,Blue Book Essay,1,71.6,70.8
173,Computer Essay,1,74.4,75.4
173,Blue Book Essay,1,76.7,76.1
174,Computer Essay,1,72.3,74.9
174,Blue Book Essay,1,77.8,68.1
175,Computer Essay,1,77.9,71.4
175,Blue Book Essay,1,81.3,78.8
176,Computer Essay,1,84.4,84.9
176,Blue Book Essay,1,92.6,90.9
177,Computer Essay,1,72.2,77
177,Blue Book Essay,1,81,77.6
178,Computer Essay,1,85.1,93.7
178,Blue Book Essay,1,83.8,87.6
179,Computer Essay,1,72,75.8
179,Blue Book Essay,1,70.1,67.8
180,Computer Essay,1,100,107.1
180,Blue Book Essay,1,98.6,107.2
181,Computer Essay,1,80.8,86.6
181,Blue Book Essay,1,76.5,78.9
182,Computer Essay,1,65,77.6
182,Blue Book Essay,1,58.2,55.2
183,Computer Essay,1,71.7,70.8
183,Blue Book Essay,1,68.7,73
184,Computer Essay,1,78.2,88.6
184,Blue Book Essay,1,83.1,79.5
185,Computer Essay,1,67.5,67
185,Blue Book Essay,1,76.9,76.2
186,Computer Essay,1,75.4,88.6
186,Blue Book Essay,1,83.3,83
187,Computer Essay,1,77.9,78.1
187,Blue Book Essay,1,85.8,87.7
188,Computer Essay,1,67,74
188,Blue Book Essay,1,75.4,77.4
189,Computer Essay,1,70.5,72.7
189,Blue Book Essay,1,78.5,80
190,Computer Essay,1,58.8,65.2
190,Blue Book Essay,1,57.1,59.9
191,Computer Essay,1,69.4,72.3
191,Blue Book Essay,1,76.1,78.5
192,Computer Essay,1,88.1,85.5
192,Blue Book Essay,1,82,79.2
193,Computer Essay,1,81.6,79.1
193,Blue Book Essay,1,76,75
194,Computer Essay,1,64.7,68.8
194,Blue Book Essay,1,64.3,66.8
195,Computer Essay,1,72.8,78.1
195,Blue Book Essay,1,71.1,70.7
196,Computer Essay,1,82.9,91.9
196,Blue Book Essay,1,85.5,87.7
197,Computer Essay,1,66.2,64
197,Blue Book Essay,1,65,66.5
198,Computer Essay,1,68.6,67.7
198,Blue Book Essay,1,81.5,82.6
199,Computer Essay,1,75,77.3
199,Blue Book Essay,1,73.3,72.4
200,Computer Essay,1,65.9,74.6
200,Blue Book Essay,1,55.8,60.7
201,Computer Essay,1,71.6,82.1
201,Blue Book Essay,1,74.2,73.7
202,Computer Essay,1,80.4,82.8
202,Blue Book Essay,1,82.1,85.9
203,Computer Essay,1,85.9,93.6
203,Blue Book Essay,1,83.6,95.2
204,Computer Essay,1,82.9,96.4
204,Blue Book Essay,1,79.7,78.3
205,Computer Essay,1,50,55.3
205,Blue Book Essay,1,64.5,63.2
206,Computer Essay,1,65.3,76.8
206,Blue Book Essay,1,65.6,63.3
207,Computer Essay,1,80.7,92.4
207,Blue Book Essay,1,77.9,78.7
208,Computer Essay,1,73.5,78.8
208,Blue Book Essay,1,84.6,86
209,Computer Essay,1,80,79.8
209,Blue Book Essay,1,88.3,87.8
210,Computer Essay,1,97.9,100.8
210,Blue Book Essay,1,97.5,93.1
211,Computer Essay,1,73.4,82.2
211,Blue Book Essay,1,74.4,85.2
212,Computer Essay,1,83.8,89.1
212,Blue Book Essay,1,84.5,93.2
213,Computer Essay,1,77.9,90.8
213,Blue Book Essay,1,84.7,85.2
214,Computer Essay,1,80.5,72.9
214,Blue Book Essay,1,85.5,88.1
215,Computer Essay,1,66.6,77.1
215,Blue Book Essay,1,61.7,64.8
216,Computer Essay,1,79.9,96
216,Blue Book Essay,1,86.4,89.3
217,Computer Essay,1,73.5,74.2
217,Blue Book Essay,1,70,65.7
218,Computer Essay,1,69.4,76.4
218,Blue Book Essay,1,67.4,67.4
219,Computer Essay,1,68.8,73.9
219,Blue Book Essay,1,71.9,82.7
220,Computer Essay,1,70.7,75
220,Blue Book Essay,1,75.8,70.8
221,Computer Essay,1,93.1,92.3
221,Blue Book Essay,1,97,95.4
222,Computer Essay,1,50,46
222,Blue Book Essay,1,54.9,57.7
223,Computer Essay,1,80.3,79.8
223,Blue Book Essay,1,73.6,71.8
224,Computer Essay,1,58.5,56
224,Blue Book Essay,1,64.6,69
225,Computer Essay,1,67.5,68.6
225,Blue Book Essay,1,72.6,70.9
226,Computer Essay,1,82.3,86
226,Blue Book Essay,1,80.9,81.5
227,Computer Essay,1,83.1,85.3
227,Blue Book Essay,1,74.3,72.3
228,Computer Essay,1,53.2,54.5
228,Blue Book Essay,1,55.3,57.3
229,Computer Essay,1,57.9,63.5
229,Blue Book Essay,1,71.3,70.8
230,Computer Essay,1,87.9,87.6
230,Blue Book Essay,1,85.3,83.1
231,Computer Essay,1,54.9,54.8
231,Blue Book Essay,1,63.1,60.6
232,Computer Essay,1,74.5,74.3
232,Blue Book Essay,1,76.5,75.1
233,Computer Essay,1,74.3,74.9
233,Blue Book Essay,1,76.7,86.3
234,Computer Essay,1,66,73.8
234,Blue Book Essay,1,67.6,72.5
235,Computer Essay,1,99.2,101.8
235,Blue Book Essay,1,96.9,102.3
236,Computer Essay,1,73.6,81.5
236,Blue Book Essay,1,80.9,79.3
237,Computer Essay,1,52.1,54.9
237,Blue Book Essay,1,50,54.4
238,Computer Essay,1,75.7,80
238,Blue Book Essay,1,70.7,68.6
239,Computer Essay,1,71.2,69.8
239,Blue Book Essay,1,69.5,75.3
240,Computer Essay,1,75.6,84.6
240,Blue Book Essay,1,87.1,88.4
241,Computer Essay,1,72,73.4
241,Blue Book Essay,1,64.8,66.1
242,Computer Essay,1,71.2,74.1
242,Blue Book Essay,1,76.9,72.2
243,Computer Essay,1,84.6,88.2
243,Blue Book Essay,1,70.7,74.6
244,Computer Essay,1,76.2,73.4
244,Blue Book Essay,1,80.6,80.5
245,Computer Essay,1,59.5,63.9
245,Blue Book Essay,1,65.9,70.6
246,Computer Essay,1,66.8,66.4
246,Blue Book Essay,1,69.6,66.2
247,Computer Essay,1,73.1,74.9
247,Blue Book Essay,1,77.3,74.6
248,Computer Essay,1,66.3,68.1
248,Blue Book Essay,1,68.9,74.6
249,Computer Essay,1,88.3,95.5
249,Blue Book Essay,1,91.6,95.6
250,Computer Essay,1,74.9,82.4
250,Blue Book Essay,1,77.5,75.4
251,Computer Essay,1,59.1,61.3
251,Blue Book Essay,1,69.4,69
252,Computer Essay,1,85.7,99.5
252,Blue Book Essay,1,81.5,81.6
253,Computer Essay,1,93.7,93.8
253,Blue Book Essay,1,97.5,93.1
254,Computer Essay,1,77.4,83.1
254,Blue Book Essay,1,85,92.2
255,Computer Essay,1,61,60
255,Blue Book Essay,1,61.3,58.7
256,Computer Essay,1,64.2,71.4
256,Blue Book Essay,1,66.1,63.6
257,Computer Essay,1,75.8,78.4
257,Blue Book Essay,1,90.4,90.1
258,Computer Essay,1,76.3,71.6
258,Blue Book Essay,1,62.3,60.5
259,Computer Essay,1,82.9,79.8
259,Blue Book Essay,1,88.2,90.2
260,Computer Essay,1,78.4,94
260,Blue Book Essay,1,81.2,79.2
261,Computer Essay,1,65,74.3
261,Blue Book Essay,1,67.1,71.5
262,Computer Essay,1,73.9,75.3
262,Blue Book Essay,1,71.4,70.9
263,Computer Essay,1,51.1,57.6
263,Blue Book Essay,1,50,53.9
264,Computer Essay,1,68.4,67.5
264,Blue Book Essay,1,63.5,66.3
265,Computer Essay,1,65.9,68.6
265,Blue Book Essay,1,68.2,77.7
266,Computer Essay,1,50,59.2
266,Blue Book Essay,1,77.2,82.1
267,Computer Essay,1,89,99.7
267,Blue Book Essay,1,91.8,92.7
268,Computer Essay,1,61.5,61.4
268,Blue Book Essay,1,60.1,60.2
269,Computer Essay,1,67.6,69.9
269,Blue Book Essay,1,75.3,66.9
270,Computer Essay,1,77.6,85.5
270,Blue Book Essay,1,76.3,74.1
271,Computer Essay,1,93,97.2
271,Blue Book Essay,1,93.2,93.4
272,Computer Essay,1,53.8,52.4
272,Blue Book Essay,1,52.7,55.8
273,Computer Essay,1,89.4,92.1
273,Blue Book Essay,1,88.2,90.2
274,Computer Essay,1,69.9,78.1
274,Blue Book Essay,1,76.3,83.3
275,Computer Essay,1,69.1,75.5
275,Blue Book Essay,1,67.7,76
276,Computer Essay,1,77.5,84.7
276,Blue Book Essay,1,74.2,71
277,Computer Essay,1,71.6,69.7
277,Blue Book Essay,1,75.3,74.8
278,Computer Essay,1,57.5,58
278,Blue Book Essay,1,69.1,67.1
279,Computer Essay,1,77,72.7
279,Blue Book Essay,1,79.4,77.6
280,Computer Essay,1,65.3,73.6
280,Blue Book Essay,1,65.4,68.7
281,Computer Essay,1,72.8,75.2
281,Blue Book Essay,1,65.1,61.9
282,Computer Essay,1,79.9,94.7
282,Blue Book Essay,1,82,77.1
283,Computer Essay,1,73.8,79.7
283,Blue Book Essay,1,90.8,95
284,Computer Essay,1,61.7,73.7
284,Blue Book Essay,1,59.2,55.2
285,Computer Essay,1,96.7,110
285,Blue Book Essay,1,97.9,105.1
286,Computer Essay,1,55.4,60.3
286,Blue Book Essay,1,51.9,48.9
287,Computer Essay,1,68,66.9
287,Blue Book Essay,1,70.4,71.4
288,Computer Essay,1,74.8,75.3
288,Blue Book Essay,1,85.5,86
289,Computer Essay,1,74.2,77.1
289,Blue Book Essay,1,77.6,75.5
290,Computer Essay,1,63.5,63.1
290,Blue Book Essay,1,66.3,67
291,Computer Essay,1,68.5,74.6
291,Blue Book Essay,1,76.3,81.1
292,Computer Essay,1,72.3,82.3
292,Blue Book Essay,1,68.4,67.1
293,Computer Essay,1,68.4,64.2
293,Blue Book Essay,1,65.2,63.8
294,Computer Essay,1,88.6,101.4
294,Blue Book Essay,1,87.1,89.8
295,Computer Essay,1,77,75.7
295,Blue Book Essay,1,78.6,78.1
296,Computer Essay,1,69.1,73.6
296,Blue Book Essay,1,73.1,75.3
297,Computer Essay,1,82,82.8
297,Blue Book Essay,1,86,78.1
298,Computer Essay,1,73.3,78.8
298,Blue Book Essay,1,71,69.5
299,Computer Essay,1,78.9,88.5
299,Blue Book Essay,1,89.4,89.3
300,Computer Essay,1,82.4,86
300,Blue Book Essay,1,74.6,74.9
301,Computer Essay,1,68.1,63.9
301,Blue Book Essay,1,60.4,63.3
302,Computer Essay,1,69.3,70.8
302,Blue Book Essay,1,63.9,72.4
303,Computer Essay,1,74.5,72.3
303,Blue Book Essay,1,89.7,92.1
304,Computer Essay,1,77.5,82.7
304,Blue Book Essay,1,83.1,81.6
305,Computer Essay,1,73,75.7
305,Blue Book Essay,1,68.8,67.7
306,Computer Essay,1,73,68.2
306,Blue Book Essay,1,70.2,68.6
307,Computer Essay,1,97.8,98.3
307,Blue Book Essay,1,90.7,90.4
308,Computer Essay,1,67.2,69.3
308,Blue Book Essay,1,70.8,73.2
309,Computer Essay,1,82,88.8
309,Blue Book Essay,1,83.1,87.1
310,Computer Essay,1,74.3,73.8
310,Blue Book Essay,1,74.9,73.7
311,Computer Essay,1,71.3,73.1
311,Blue Book Essay,1,79.6,74.2
312,Computer Essay,1,84.8,93.7
312,Blue Book Essay,1,85.2,85
313,Computer Essay,1,80.1,80.1
313,Blue Book Essay,1,89.7,86.2
314,Computer Essay,1,80.6,84.9
314,Blue Book Essay,1,73.9,84.6
315,Computer Essay,1,86.2,86.1
315,Blue Book Essay,1,88.2,89.7
316,Computer Essay,1,71.3,75.7
316,Blue Book Essay,1,72.6,74.8
317,Computer Essay,1,74.3,76.3
317,Blue Book Essay,1,82.1,86
318,Computer Essay,1,77.8,75.9
318,Blue Book Essay,1,65.8,62.5
319,Computer Essay,1,75.1,88
319,Blue Book Essay,1,79.6,78.3
320,Computer Essay,1,70.1,68.1
320,Blue Book Essay,1,73.5,80.2
321,Computer Essay,1,65.9,84
321,Blue Book Essay,1,75.9,74.9
322,Computer Essay,1,78,85.1
322,Blue Book Essay,1,78.2,81.3
323,Computer Essay,1,53.8,54.6
323,Blue Book Essay,1,73.5,71.7
324,Computer Essay,1,91.8,90.4
324,Blue Book Essay,1,97.9,103.7
325,Computer Essay,1,73.1,74.1
325,Blue Book Essay,1,57.1,55.6
326,Computer Essay,1,63,61.6
326,Blue Book Essay,1,62,63.9
327,Computer Essay,1,93.6,101.5
327,Blue Book Essay,1,84.6,83.5
328,Computer Essay,1,76.1,91.6
328,Blue Book Essay,1,84.3,84.3
329,Computer Essay,1,77.7,77.7
329,Blue Book Essay,1,80.2,86.7
330,Computer Essay,1,83.7,89.3
330,Blue Book Essay,1,78,77.8
331,Computer Essay,1,70.7,77.5
331,Blue Book Essay,1,73.5,73.3
332,Computer Essay,1,62.2,70.2
332,Blue Book Essay,1,61.8,65.1
333,Computer Essay,1,70.5,81.2
333,Blue Book Essay,1,81.4,83
334,Computer Essay,1,56.9,59.2
334,Blue Book Essay,1,72.3,79.4
335,Computer Essay,1,72.9,69.8
335,Blue Book Essay,1,88.2,90.9
336,Computer Essay,1,71.6,77.6
336,Blue Book Essay,1,67.8,68.8
337,Computer Essay,1,65.3,83.2
337,Blue Book Essay,1,68.7,63
338,Computer Essay,1,77.9,75.7
338,Blue Book Essay,1,71.3,67.8
339,Computer Essay,1,76.2,80.7
339,Blue Book Essay,1,82.7,92.8
340,Computer Essay,1,60.1,56.8
340,Blue Book Essay,1,68.3,69.9
341,Computer Essay,1,69.2,63.8
341,Blue Book Essay,1,63.7,68.5
342,Computer Essay,1,77.6,91.8
342,Blue Book Essay,1,78.5,74.2
343,Computer Essay,1,78.9,74
343,Blue Book Essay,1,82.4,83.9
344,Computer Essay,1,65.4,75.1
344,Blue Book Essay,1,68.5,66.1
345,Computer Essay,1,64.9,65.6
345,Blue Book Essay,1,69.5,69.1
346,Computer Essay,1,78.7,86.4
346,Blue Book Essay,1,70.6,76.4
347,Computer Essay,1,50,59.8
347,Blue Book Essay,1,56.1,56.2
348,Computer Essay,1,56.6,68.5
348,Blue Book Essay,1,62.2,60.5
349,Computer Essay,1,62.8,74.8
349,Blue Book Essay,1,73.9,81.8
350,Computer Essay,1,71.3,73
350,Blue Book Essay,1,67.8,73.9
351,Computer Essay,1,78.2,80.7
351,Blue Book Essay,1,84.1,80.1
352,Computer Essay,1,93,99.1
352,Blue Book Essay,1,83.8,83.5
353,Computer Essay,1,91.6,93.9
353,Blue Book Essay,1,98.1,98.1
354,Computer Essay,1,74.1,77.8
354,Blue Book Essay,1,76.8,88
355,Computer Essay,1,74,81.6
355,Blue Book Essay,1,76.3,82
